,Recipients,Sends,Deliveries,Opens,Conversions,Send Rate,Delivery Rate,Open Rate,Conversion Rate
17,489.0,385.0,342.0,164.0,21.0,0.787321063394683,0.8883116883116883,0.47953216374269003,0.12804878048780488
18,487.0,398.0,359.0,111.0,12.0,0.8172484599589322,0.9020100502512562,0.30919220055710306,0.10810810810810811
19,691.0,596.0,534.0,308.0,38.0,0.8625180897250362,0.8959731543624161,0.5767790262172284,0.12337662337662338
20,486.0,447.0,412.0,209.0,31.0,0.9197530864197531,0.9217002237136466,0.5072815533980582,0.14832535885167464
21,397.0,320.0,283.0,128.0,24.0,0.8060453400503779,0.884375,0.45229681978798586,0.1875
22,659.0,606.0,556.0,250.0,27.0,0.9195751138088012,0.9174917491749175,0.44964028776978415,0.108
23,764.0,686.0,624.0,342.0,57.0,0.8979057591623036,0.9096209912536443,0.5480769230769231,0.16666666666666666
24,522.0,481.0,444.0,185.0,27.0,0.921455938697318,0.9230769230769231,0.4166666666666667,0.14594594594594595
25,527.0,485.0,442.0,197.0,26.0,0.920303605313093,0.911340206185567,0.4457013574660634,0.1319796954314721
26,642.0,591.0,538.0,232.0,25.0,0.9205607476635514,0.9103214890016921,0.4312267657992565,0.10775862068965517
27,497.0,427.0,384.0,183.0,32.0,0.8591549295774648,0.8992974238875878,0.4765625,0.17486338797814208
28,788.0,725.0,644.0,268.0,30.0,0.9200507614213198,0.8882758620689655,0.4161490683229814,0.11194029850746269
29,567.0,475.0,440.0,315.0,48.0,0.8377425044091711,0.9263157894736842,0.7159090909090909,0.1523809523809524
30,679.0,482.0,426.0,216.0,38.0,0.7098674521354934,0.8838174273858921,0.5070422535211268,0.17592592592592593
31,1019.0,809.0,765.0,426.0,47.0,0.7939156035328754,0.9456118665018541,0.5568627450980392,0.11032863849765258
32,672.0,618.0,557.0,325.0,47.0,0.9196428571428571,0.901294498381877,0.5834829443447038,0.14461538461538462
33,358.0,329.0,297.0,131.0,15.0,0.9189944134078212,0.9027355623100304,0.44107744107744107,0.11450381679389313
34,330.0,216.0,195.0,85.0,8.0,0.6545454545454545,0.9027777777777778,0.4358974358974359,0.09411764705882353
35,462.0,425.0,379.0,264.0,21.0,0.9199134199134199,0.8917647058823529,0.6965699208443272,0.07954545454545454
36,577.0,341.0,310.0,99.0,11.0,0.5909878682842288,0.9090909090909091,0.3193548387096774,0.1111111111111111
37,691.0,504.0,467.0,198.0,28.0,0.7293777134587555,0.9265873015873016,0.42398286937901497,0.1414141414141414
38,299.0,230.0,211.0,94.0,9.0,0.7692307692307693,0.9173913043478261,0.44549763033175355,0.09574468085106383
39,583.0,536.0,486.0,243.0,21.0,0.9193825042881647,0.9067164179104478,0.5,0.08641975308641975
40,826.0,760.0,680.0,338.0,38.0,0.9200968523002422,0.8947368421052632,0.4970588235294118,0.11242603550295859
41,579.0,533.0,499.0,228.0,20.0,0.9205526770293609,0.9362101313320825,0.45691382765531063,0.08771929824561403
42,559.0,486.0,431.0,226.0,20.0,0.8694096601073346,0.8868312757201646,0.5243619489559165,0.08849557522123894
43,806.0,721.0,654.0,223.0,28.0,0.8945409429280397,0.9070735090152566,0.3409785932721712,0.12556053811659193
44,680.0,626.0,562.0,324.0,23.0,0.9205882352941176,0.8977635782747604,0.5765124555160143,0.07098765432098765
45,872.0,802.0,727.0,397.0,50.0,0.9197247706422018,0.9064837905236908,0.546079779917469,0.12594458438287154
46,571.0,525.0,477.0,157.0,21.0,0.9194395796847635,0.9085714285714286,0.32914046121593293,0.1337579617834395
47,717.0,659.0,606.0,327.0,31.0,0.9191073919107392,0.9195751138088012,0.5396039603960396,0.09480122324159021
48,597.0,550.0,505.0,287.0,36.0,0.9212730318257957,0.9181818181818182,0.5683168316831683,0.1254355400696864
49,457.0,421.0,380.0,125.0,11.0,0.9212253829321663,0.9026128266033254,0.32894736842105265,0.088
50,767.0,680.0,629.0,198.0,22.0,0.8865710560625815,0.925,0.314785373608903,0.1111111111111111
51,765.0,657.0,584.0,332.0,60.0,0.8588235294117647,0.8888888888888888,0.5684931506849316,0.18072289156626506
52,1040.0,957.0,863.0,373.0,55.0,0.9201923076923076,0.9017763845350052,0.4322132097334878,0.14745308310991956
53,935.0,860.0,801.0,230.0,22.0,0.9197860962566845,0.9313953488372093,0.28714107365792757,0.09565217391304348
54,613.0,564.0,517.0,433.0,37.0,0.9200652528548124,0.9166666666666666,0.8375241779497099,0.08545034642032333
55,660.0,510.0,459.0,191.0,25.0,0.7727272727272727,0.9,0.41612200435729846,0.13089005235602094
56,723.0,665.0,607.0,191.0,32.0,0.9197786998616874,0.912781954887218,0.31466227347611203,0.16753926701570682
57,813.0,748.0,678.0,280.0,24.0,0.9200492004920049,0.9064171122994652,0.41297935103244837,0.08571428571428572
58,733.0,675.0,624.0,230.0,21.0,0.9208731241473397,0.9244444444444444,0.3685897435897436,0.09130434782608696
59,322.0,296.0,278.0,107.0,14.0,0.9192546583850931,0.9391891891891891,0.38489208633093525,0.1308411214953271
60,811.0,747.0,682.0,285.0,34.0,0.9210850801479655,0.9129852744310576,0.4178885630498534,0.11929824561403508
61,536.0,493.0,466.0,185.0,19.0,0.9197761194029851,0.9452332657200812,0.3969957081545064,0.10270270270270271
62,609.0,497.0,464.0,230.0,25.0,0.8160919540229885,0.9336016096579477,0.4956896551724138,0.10869565217391304
63,704.0,626.0,576.0,256.0,32.0,0.8892045454545454,0.9201277955271565,0.4444444444444444,0.125
64,753.0,693.0,641.0,273.0,26.0,0.9203187250996016,0.924963924963925,0.42589703588143524,0.09523809523809523
65,800.0,643.0,589.0,392.0,55.0,0.80375,0.9160186625194401,0.66553480475382,0.14030612244897958
66,620.0,571.0,523.0,272.0,41.0,0.9209677419354839,0.9159369527145359,0.5200764818355641,0.15073529411764705
67,642.0,590.0,541.0,191.0,21.0,0.9190031152647975,0.9169491525423729,0.35304990757855825,0.1099476439790576
68,512.0,435.0,390.0,131.0,14.0,0.849609375,0.896551724137931,0.33589743589743587,0.10687022900763359
69,520.0,348.0,318.0,155.0,12.0,0.6692307692307692,0.9137931034482759,0.48742138364779874,0.07741935483870968
70,890.0,819.0,738.0,392.0,46.0,0.9202247191011236,0.9010989010989011,0.5311653116531165,0.11734693877551021
71,818.0,753.0,682.0,296.0,39.0,0.9205378973105135,0.9057104913678619,0.4340175953079179,0.13175675675675674
72,722.0,664.0,612.0,190.0,26.0,0.9196675900277008,0.9216867469879518,0.3104575163398693,0.1368421052631579
73,284.0,235.0,218.0,96.0,8.0,0.8274647887323944,0.9276595744680851,0.44036697247706424,0.08333333333333333
74,761.0,445.0,399.0,182.0,19.0,0.5847568988173456,0.8966292134831461,0.45614035087719296,0.1043956043956044
75,806.0,741.0,668.0,321.0,52.0,0.9193548387096774,0.9014844804318488,0.4805389221556886,0.16199376947040497
76,797.0,733.0,684.0,289.0,41.0,0.9196988707653702,0.9331514324693042,0.42251461988304095,0.14186851211072665
77,294.0,232.0,203.0,118.0,10.0,0.7891156462585034,0.875,0.5812807881773399,0.0847457627118644
78,448.0,412.0,373.0,178.0,15.0,0.9196428571428571,0.9053398058252428,0.4772117962466488,0.08426966292134831
79,799.0,735.0,675.0,313.0,41.0,0.9198998748435544,0.9183673469387755,0.46370370370370373,0.13099041533546327
80,564.0,456.0,407.0,154.0,15.0,0.8085106382978723,0.8925438596491229,0.3783783783783784,0.09740259740259741
81,930.0,855.0,812.0,267.0,42.0,0.9193548387096774,0.9497076023391813,0.3288177339901478,0.15730337078651685
82,435.0,400.0,363.0,143.0,14.0,0.9195402298850575,0.9075,0.3939393939393939,0.0979020979020979
83,612.0,563.0,520.0,418.0,58.0,0.9199346405228758,0.9236234458259325,0.8038461538461539,0.13875598086124402
84,656.0,409.0,379.0,149.0,17.0,0.6234756097560976,0.9266503667481663,0.39313984168865435,0.11409395973154363
85,659.0,526.0,481.0,185.0,25.0,0.7981790591805766,0.9144486692015209,0.38461538461538464,0.13513513513513514
86,753.0,692.0,655.0,327.0,34.0,0.9189907038512616,0.9465317919075145,0.49923664122137407,0.10397553516819572
87,611.0,390.0,368.0,222.0,25.0,0.6382978723404256,0.9435897435897436,0.6032608695652174,0.11261261261261261
88,585.0,427.0,383.0,197.0,27.0,0.7299145299145299,0.8969555035128806,0.5143603133159269,0.13705583756345177
89,1103.0,973.0,891.0,326.0,34.0,0.8821396192203083,0.9157245632065776,0.3658810325476992,0.10429447852760736
90,660.0,607.0,574.0,225.0,15.0,0.9196969696969697,0.9456342668863262,0.39198606271777003,0.06666666666666667
91,403.0,303.0,285.0,130.0,14.0,0.7518610421836228,0.9405940594059405,0.45614035087719296,0.1076923076923077
92,731.0,650.0,605.0,215.0,22.0,0.8891928864569083,0.9307692307692308,0.35537190082644626,0.10232558139534884
93,728.0,631.0,568.0,320.0,48.0,0.8667582417582418,0.9001584786053882,0.5633802816901409,0.15
94,513.0,472.0,422.0,147.0,18.0,0.9200779727095516,0.8940677966101694,0.34834123222748814,0.12244897959183673
95,1001.0,920.0,840.0,475.0,62.0,0.919080919080919,0.9130434782608695,0.5654761904761905,0.13052631578947368
96,658.0,412.0,375.0,184.0,28.0,0.6261398176291794,0.9101941747572816,0.49066666666666664,0.15217391304347827
97,977.0,761.0,657.0,456.0,77.0,0.7789150460593655,0.8633377135348226,0.6940639269406392,0.16885964912280702
98,902.0,735.0,661.0,386.0,47.0,0.8148558758314856,0.8993197278911564,0.583963691376702,0.12176165803108809
99,884.0,676.0,633.0,228.0,29.0,0.7647058823529411,0.9363905325443787,0.36018957345971564,0.12719298245614036
100,722.0,665.0,611.0,310.0,53.0,0.9210526315789473,0.9187969924812031,0.5073649754500819,0.17096774193548386
101,988.0,699.0,653.0,332.0,28.0,0.7074898785425101,0.9341917024320457,0.5084226646248086,0.08433734939759036
102,610.0,544.0,508.0,216.0,24.0,0.8918032786885246,0.9338235294117647,0.4251968503937008,0.1111111111111111
103,718.0,543.0,490.0,231.0,43.0,0.7562674094707521,0.9023941068139963,0.4714285714285714,0.18614718614718614
104,547.0,503.0,453.0,172.0,18.0,0.9195612431444241,0.9005964214711729,0.37969094922737306,0.10465116279069768
105,476.0,438.0,394.0,178.0,23.0,0.9201680672268907,0.8995433789954338,0.4517766497461929,0.12921348314606743
106,763.0,702.0,644.0,322.0,57.0,0.9200524246395806,0.9173789173789174,0.5,0.17701863354037267
107,628.0,577.0,526.0,332.0,43.0,0.9187898089171974,0.9116117850953206,0.6311787072243346,0.12951807228915663
108,386.0,355.0,317.0,158.0,15.0,0.9196891191709845,0.8929577464788733,0.49842271293375395,0.0949367088607595
109,610.0,561.0,528.0,163.0,16.0,0.919672131147541,0.9411764705882353,0.3087121212121212,0.09815950920245399
110,722.0,664.0,596.0,256.0,24.0,0.9196675900277008,0.8975903614457831,0.42953020134228187,0.09375
111,885.0,814.0,734.0,363.0,53.0,0.919774011299435,0.9017199017199017,0.494550408719346,0.14600550964187328
112,1041.0,958.0,865.0,339.0,43.0,0.920268972142171,0.9029227557411273,0.3919075144508671,0.12684365781710916
113,592.0,479.0,433.0,261.0,36.0,0.8091216216216216,0.9039665970772442,0.6027713625866051,0.13793103448275862
114,942.0,823.0,740.0,465.0,58.0,0.8736730360934183,0.8991494532199271,0.6283783783783784,0.12473118279569892
115,641.0,582.0,545.0,282.0,27.0,0.9079563182527302,0.936426116838488,0.5174311926605505,0.09574468085106383
116,958.0,741.0,700.0,331.0,54.0,0.7734864300626305,0.9446693657219973,0.47285714285714286,0.16314199395770393
117,433.0,317.0,289.0,186.0,25.0,0.7321016166281755,0.9116719242902208,0.643598615916955,0.13440860215053763
118,637.0,508.0,473.0,213.0,21.0,0.7974882260596546,0.9311023622047244,0.4503171247357294,0.09859154929577464
119,506.0,465.0,421.0,196.0,25.0,0.9189723320158103,0.9053763440860215,0.4655581947743468,0.12755102040816327
120,716.0,659.0,575.0,202.0,25.0,0.9203910614525139,0.8725341426403642,0.35130434782608694,0.12376237623762376
121,784.0,721.0,642.0,279.0,32.0,0.9196428571428571,0.8904299583911235,0.43457943925233644,0.11469534050179211
122,762.0,701.0,625.0,200.0,45.0,0.9199475065616798,0.891583452211127,0.32,0.225
123,875.0,798.0,726.0,295.0,35.0,0.912,0.9097744360902256,0.40633608815426997,0.11864406779661017
124,1002.0,669.0,589.0,286.0,36.0,0.6676646706586826,0.8804185351270553,0.4855687606112054,0.1258741258741259
125,1178.0,1084.0,983.0,597.0,53.0,0.9202037351443124,0.9068265682656826,0.6073245167853509,0.08877721943048576
126,517.0,476.0,441.0,164.0,20.0,0.9206963249516441,0.9264705882352942,0.37188208616780044,0.12195121951219512
127,769.0,707.0,645.0,243.0,34.0,0.9193758127438232,0.9123055162659123,0.3767441860465116,0.13991769547325103
128,793.0,579.0,533.0,221.0,22.0,0.7301387137452712,0.9205526770293609,0.4146341463414634,0.09954751131221719
129,708.0,533.0,474.0,262.0,26.0,0.7528248587570622,0.8893058161350844,0.5527426160337553,0.09923664122137404
130,606.0,514.0,457.0,173.0,25.0,0.8481848184818482,0.8891050583657587,0.3785557986870897,0.14450867052023122
131,768.0,706.0,636.0,272.0,35.0,0.9192708333333334,0.9008498583569405,0.4276729559748428,0.12867647058823528
132,448.0,412.0,369.0,165.0,18.0,0.9196428571428571,0.8956310679611651,0.44715447154471544,0.10909090909090909
133,400.0,368.0,337.0,192.0,28.0,0.92,0.9157608695652174,0.56973293768546,0.14583333333333334
134,915.0,812.0,742.0,227.0,28.0,0.8874316939890711,0.9137931034482759,0.3059299191374663,0.12334801762114538
135,899.0,827.0,723.0,365.0,33.0,0.9199110122358176,0.8742442563482467,0.5048409405255878,0.09041095890410959
136,2497.0,1918.0,1726.0,864.0,110.0,0.7681217460953144,0.899895724713243,0.5005793742757821,0.12731481481481483
137,776.0,687.0,642.0,297.0,23.0,0.8853092783505154,0.9344978165938864,0.46261682242990654,0.07744107744107744
138,566.0,521.0,480.0,232.0,33.0,0.9204946996466431,0.9213051823416507,0.48333333333333334,0.14224137931034483
139,727.0,663.0,601.0,338.0,31.0,0.9119669876203577,0.9064856711915535,0.562396006655574,0.09171597633136094
140,747.0,619.0,552.0,202.0,18.0,0.8286479250334672,0.8917609046849758,0.36594202898550726,0.0891089108910891
141,779.0,567.0,513.0,299.0,56.0,0.7278562259306803,0.9047619047619048,0.5828460038986355,0.18729096989966554
142,786.0,723.0,643.0,273.0,28.0,0.9198473282442748,0.8893499308437067,0.42457231726283046,0.10256410256410256
143,2324.0,2138.0,1995.0,1037.0,127.0,0.9199655765920827,0.9331150608044901,0.5197994987468672,0.12246865959498554
144,1120.0,935.0,851.0,248.0,35.0,0.8348214285714286,0.9101604278074866,0.29142185663924797,0.14112903225806453
145,446.0,321.0,294.0,164.0,19.0,0.7197309417040358,0.9158878504672897,0.5578231292517006,0.11585365853658537
146,917.0,735.0,669.0,325.0,31.0,0.8015267175572519,0.9102040816326531,0.4857997010463378,0.09538461538461539
147,612.0,383.0,355.0,143.0,17.0,0.6258169934640523,0.9268929503916449,0.4028169014084507,0.11888111888111888
148,807.0,724.0,633.0,310.0,40.0,0.8971499380421314,0.8743093922651933,0.48973143759873616,0.12903225806451613
149,822.0,704.0,646.0,441.0,57.0,0.8564476885644768,0.9176136363636364,0.6826625386996904,0.1292517006802721
150,641.0,567.0,527.0,228.0,25.0,0.8845553822152886,0.9294532627865961,0.43263757115749524,0.10964912280701754
151,746.0,686.0,638.0,341.0,28.0,0.9195710455764075,0.9300291545189504,0.5344827586206896,0.08211143695014662
152,874.0,628.0,586.0,209.0,19.0,0.7185354691075515,0.9331210191082803,0.35665529010238906,0.09090909090909091
153,472.0,333.0,310.0,168.0,19.0,0.7055084745762712,0.9309309309309309,0.5419354838709678,0.1130952380952381
154,458.0,408.0,367.0,154.0,20.0,0.8908296943231441,0.8995098039215687,0.4196185286103542,0.12987012987012986
155,908.0,801.0,737.0,238.0,49.0,0.8821585903083701,0.920099875156055,0.3229308005427408,0.20588235294117646
156,819.0,729.0,661.0,307.0,58.0,0.8901098901098901,0.906721536351166,0.46444780635400906,0.18892508143322476
157,1983.0,1824.0,1673.0,713.0,90.0,0.9198184568835098,0.9172149122807017,0.4261805140466228,0.12622720897615708
158,813.0,748.0,665.0,250.0,30.0,0.9200492004920049,0.8890374331550802,0.37593984962406013,0.12
159,680.0,576.0,518.0,198.0,36.0,0.8470588235294118,0.8993055555555556,0.38223938223938225,0.18181818181818182
160,707.0,628.0,565.0,261.0,37.0,0.8882602545968883,0.8996815286624203,0.46194690265486726,0.1417624521072797
161,931.0,856.0,790.0,379.0,37.0,0.9194414607948442,0.9228971962616822,0.479746835443038,0.09762532981530343
162,908.0,835.0,734.0,285.0,28.0,0.9196035242290749,0.8790419161676647,0.388283378746594,0.09824561403508772
163,731.0,651.0,595.0,264.0,29.0,0.8905608755129959,0.9139784946236559,0.4436974789915966,0.10984848484848485
164,1323.0,1218.0,1122.0,523.0,55.0,0.9206349206349206,0.9211822660098522,0.4661319073083779,0.10516252390057361
165,1224.0,873.0,772.0,363.0,45.0,0.7132352941176471,0.8843069873997709,0.47020725388601037,0.12396694214876033
166,871.0,801.0,728.0,364.0,53.0,0.9196326061997704,0.9088639200998752,0.5,0.14560439560439561
167,622.0,572.0,521.0,261.0,24.0,0.9196141479099679,0.9108391608391608,0.5009596928982726,0.09195402298850575
168,489.0,432.0,383.0,202.0,18.0,0.8834355828220859,0.8865740740740741,0.5274151436031331,0.0891089108910891
169,742.0,682.0,611.0,234.0,51.0,0.9191374663072777,0.8958944281524927,0.3829787234042553,0.21794871794871795
170,772.0,465.0,436.0,112.0,8.0,0.6023316062176166,0.9376344086021505,0.25688073394495414,0.07142857142857142
171,649.0,532.0,487.0,229.0,18.0,0.8197226502311248,0.9154135338345865,0.4702258726899384,0.07860262008733625
172,1124.0,1034.0,943.0,290.0,26.0,0.9199288256227758,0.9119922630560928,0.3075291622481442,0.0896551724137931
173,875.0,805.0,756.0,341.0,46.0,0.92,0.9391304347826087,0.45105820105820105,0.1348973607038123
174,518.0,405.0,364.0,223.0,28.0,0.7818532818532818,0.8987654320987655,0.6126373626373627,0.12556053811659193
175,1001.0,906.0,816.0,390.0,70.0,0.9050949050949051,0.9006622516556292,0.47794117647058826,0.1794871794871795
176,1267.0,1013.0,937.0,443.0,56.0,0.7995264404104183,0.9249753208292202,0.4727854855923159,0.12641083521444696
177,804.0,588.0,554.0,384.0,54.0,0.7313432835820896,0.9421768707482994,0.6931407942238267,0.140625
178,623.0,573.0,512.0,157.0,14.0,0.9197431781701445,0.893542757417103,0.306640625,0.08917197452229299
179,868.0,799.0,726.0,322.0,32.0,0.9205069124423964,0.9086357947434293,0.44352617079889806,0.09937888198757763
180,765.0,667.0,628.0,342.0,59.0,0.8718954248366013,0.9415292353823088,0.5445859872611465,0.17251461988304093
181,769.0,708.0,616.0,181.0,17.0,0.9206762028608583,0.8700564971751412,0.29383116883116883,0.09392265193370165
182,759.0,644.0,599.0,305.0,29.0,0.8484848484848485,0.9301242236024845,0.5091819699499165,0.09508196721311475
183,1098.0,957.0,879.0,380.0,44.0,0.8715846994535519,0.9184952978056427,0.4323094425483504,0.11578947368421053
184,908.0,835.0,745.0,382.0,36.0,0.9196035242290749,0.8922155688622755,0.512751677852349,0.09424083769633508
185,1408.0,1295.0,1186.0,504.0,45.0,0.9197443181818182,0.9158301158301159,0.42495784148397975,0.08928571428571429
186,845.0,738.0,677.0,302.0,27.0,0.8733727810650888,0.9173441734417345,0.4460856720827179,0.08940397350993377
187,527.0,433.0,399.0,184.0,35.0,0.8216318785578748,0.9214780600461894,0.46115288220551376,0.19021739130434784
188,608.0,405.0,374.0,247.0,38.0,0.6661184210526315,0.9234567901234568,0.660427807486631,0.15384615384615385
189,617.0,558.0,499.0,283.0,42.0,0.9043760129659644,0.8942652329749103,0.5671342685370742,0.14840989399293286
190,691.0,624.0,575.0,325.0,35.0,0.9030390738060782,0.9214743589743589,0.5652173913043478,0.1076923076923077
191,802.0,712.0,639.0,391.0,52.0,0.8877805486284289,0.8974719101123596,0.6118935837245696,0.1329923273657289
192,1059.0,919.0,883.0,366.0,53.0,0.8677998111425873,0.9608269858541894,0.4144960362400906,0.1448087431693989
193,716.0,630.0,595.0,270.0,23.0,0.8798882681564246,0.9444444444444444,0.453781512605042,0.08518518518518518
194,605.0,453.0,405.0,179.0,19.0,0.7487603305785124,0.8940397350993378,0.4419753086419753,0.10614525139664804
195,845.0,733.0,646.0,335.0,30.0,0.8674556213017751,0.8813096862210096,0.5185758513931888,0.08955223880597014
196,710.0,653.0,582.0,267.0,30.0,0.9197183098591549,0.891271056661562,0.4587628865979381,0.11235955056179775
197,761.0,700.0,631.0,272.0,33.0,0.9198423127463863,0.9014285714285715,0.43106180665610144,0.1213235294117647
198,884.0,813.0,725.0,293.0,26.0,0.919683257918552,0.8917589175891759,0.40413793103448276,0.08873720136518772
199,1886.0,1532.0,1438.0,811.0,97.0,0.8123011664899258,0.9386422976501305,0.5639777468706537,0.11960542540073983
200,807.0,664.0,611.0,309.0,31.0,0.8228004956629492,0.9201807228915663,0.5057283142389526,0.10032362459546926
201,605.0,521.0,473.0,209.0,22.0,0.8611570247933884,0.9078694817658349,0.4418604651162791,0.10526315789473684
202,821.0,755.0,708.0,267.0,36.0,0.9196102314250914,0.937748344370861,0.3771186440677966,0.1348314606741573
203,978.0,900.0,822.0,431.0,54.0,0.9202453987730062,0.9133333333333333,0.524330900243309,0.12529002320185614
204,724.0,666.0,594.0,283.0,43.0,0.919889502762431,0.8918918918918919,0.4764309764309764,0.1519434628975265
205,875.0,805.0,725.0,358.0,50.0,0.92,0.9006211180124224,0.49379310344827587,0.13966480446927373
206,240.0,171.0,153.0,80.0,6.0,0.7125,0.8947368421052632,0.5228758169934641,0.075
207,559.0,513.0,434.0,168.0,17.0,0.9177101967799642,0.8460038986354775,0.3870967741935484,0.10119047619047619
208,604.0,555.0,486.0,210.0,26.0,0.9188741721854304,0.8756756756756757,0.43209876543209874,0.12380952380952381
209,708.0,519.0,472.0,248.0,18.0,0.7330508474576272,0.9094412331406551,0.5254237288135594,0.07258064516129033
210,1351.0,1243.0,1144.0,737.0,117.0,0.920059215396003,0.9203539823008849,0.6442307692307693,0.1587516960651289
211,553.0,508.0,448.0,234.0,24.0,0.918625678119349,0.8818897637795275,0.5223214285714286,0.10256410256410256
212,883.0,812.0,744.0,246.0,29.0,0.9195922989807475,0.916256157635468,0.33064516129032256,0.11788617886178862
213,895.0,665.0,593.0,288.0,26.0,0.7430167597765364,0.8917293233082707,0.4856661045531197,0.09027777777777778
214,788.0,725.0,666.0,294.0,48.0,0.9200507614213198,0.9186206896551724,0.44144144144144143,0.16326530612244897
215,567.0,521.0,482.0,254.0,34.0,0.9188712522045855,0.9251439539347409,0.5269709543568465,0.13385826771653545
216,355.0,326.0,292.0,153.0,24.0,0.9183098591549296,0.8957055214723927,0.523972602739726,0.1568627450980392
217,863.0,631.0,578.0,183.0,23.0,0.7311703360370799,0.9160063391442155,0.3166089965397924,0.12568306010928962
218,972.0,871.0,803.0,515.0,83.0,0.8960905349794238,0.9219288174512055,0.6413449564134496,0.16116504854368932
219,747.0,687.0,634.0,402.0,39.0,0.9196787148594378,0.9228529839883551,0.6340694006309149,0.09701492537313433
220,1908.0,1470.0,1295.0,538.0,45.0,0.7704402515723271,0.8809523809523809,0.41544401544401544,0.08364312267657993
221,806.0,540.0,500.0,242.0,34.0,0.6699751861042184,0.9259259259259259,0.484,0.14049586776859505
222,599.0,551.0,498.0,273.0,48.0,0.9198664440734557,0.9038112522686026,0.5481927710843374,0.17582417582417584
223,476.0,438.0,385.0,192.0,24.0,0.9201680672268907,0.8789954337899544,0.4987012987012987,0.125
224,515.0,413.0,376.0,116.0,14.0,0.8019417475728156,0.910411622276029,0.30851063829787234,0.1206896551724138
225,1104.0,844.0,743.0,292.0,32.0,0.7644927536231884,0.8803317535545023,0.39300134589502017,0.1095890410958904
226,787.0,711.0,651.0,217.0,33.0,0.9034307496823379,0.9156118143459916,0.3333333333333333,0.15207373271889402
227,1045.0,961.0,869.0,428.0,40.0,0.9196172248803828,0.9042663891779397,0.49252013808975836,0.09345794392523364
228,800.0,736.0,691.0,450.0,51.0,0.92,0.938858695652174,0.6512301013024602,0.11333333333333333
229,559.0,430.0,388.0,204.0,22.0,0.7692307692307693,0.9023255813953488,0.5257731958762887,0.10784313725490197
230,926.0,852.0,792.0,295.0,36.0,0.9200863930885529,0.9295774647887324,0.37247474747474746,0.12203389830508475
231,554.0,509.0,478.0,260.0,33.0,0.9187725631768953,0.9390962671905697,0.5439330543933054,0.12692307692307692
232,826.0,760.0,694.0,232.0,36.0,0.9200968523002422,0.9131578947368421,0.33429394812680113,0.15517241379310345
233,987.0,908.0,809.0,290.0,56.0,0.9199594731509625,0.8909691629955947,0.3584672435105068,0.19310344827586207
234,385.0,347.0,315.0,186.0,37.0,0.9012987012987013,0.9077809798270894,0.5904761904761905,0.1989247311827957
235,759.0,699.0,640.0,311.0,45.0,0.9209486166007905,0.9155937052932761,0.4859375,0.14469453376205788
236,1181.0,1086.0,992.0,663.0,84.0,0.9195596951735817,0.9134438305709024,0.6683467741935484,0.12669683257918551
237,579.0,533.0,469.0,173.0,24.0,0.9205526770293609,0.8799249530956847,0.36886993603411516,0.13872832369942195
238,969.0,847.0,794.0,295.0,25.0,0.8740970072239422,0.9374262101534829,0.371536523929471,0.0847457627118644
239,820.0,755.0,689.0,253.0,33.0,0.9207317073170732,0.9125827814569536,0.3671988388969521,0.13043478260869565
240,878.0,808.0,723.0,441.0,41.0,0.9202733485193622,0.8948019801980198,0.6099585062240664,0.09297052154195011
241,689.0,634.0,577.0,227.0,25.0,0.9201741654571843,0.9100946372239748,0.3934142114384749,0.11013215859030837
