,Views,Visits,Conversions,Pages / Visit,Conversion Rate
41,116.0,54.0,2.0,2.1481481481481484,0.037037037037037035
42,196.0,82.0,6.0,2.3902439024390243,0.07317073170731707
43,211.0,89.0,4.0,2.3707865168539324,0.0449438202247191
44,196.0,77.0,5.0,2.5454545454545454,0.06493506493506493
45,204.0,87.0,7.0,2.3448275862068964,0.08045977011494253
46,186.0,72.0,5.0,2.5833333333333335,0.06944444444444445
47,125.0,66.0,6.0,1.893939393939394,0.09090909090909091
48,117.0,46.0,4.0,2.5434782608695654,0.08695652173913043
49,199.0,93.0,8.0,2.139784946236559,0.08602150537634409
50,210.0,90.0,7.0,2.3333333333333335,0.07777777777777778
51,195.0,96.0,10.0,2.03125,0.10416666666666667
52,224.0,100.0,9.0,2.24,0.09
53,207.0,99.0,8.0,2.090909090909091,0.08080808080808081
54,133.0,69.0,5.0,1.9275362318840579,0.07246376811594203
55,139.0,59.0,2.0,2.3559322033898304,0.03389830508474576
56,219.0,98.0,7.0,2.2346938775510203,0.07142857142857142
57,231.0,119.0,7.0,1.9411764705882353,0.058823529411764705
58,219.0,99.0,6.0,2.212121212121212,0.06060606060606061
59,205.0,80.0,8.0,2.5625,0.1
60,206.0,100.0,5.0,2.06,0.05
61,141.0,69.0,4.0,2.0434782608695654,0.057971014492753624
62,128.0,64.0,6.0,2.0,0.09375
63,223.0,91.0,5.0,2.4505494505494507,0.054945054945054944
64,223.0,86.0,8.0,2.5930232558139537,0.09302325581395349
65,221.0,98.0,12.0,2.2551020408163267,0.12244897959183673
66,208.0,92.0,6.0,2.260869565217391,0.06521739130434782
67,208.0,89.0,9.0,2.337078651685393,0.10112359550561797
68,144.0,67.0,5.0,2.1492537313432836,0.07462686567164178
69,137.0,63.0,3.0,2.1746031746031744,0.047619047619047616
70,219.0,90.0,4.0,2.433333333333333,0.044444444444444446
71,232.0,108.0,10.0,2.1481481481481484,0.09259259259259259
72,219.0,100.0,8.0,2.19,0.08
73,236.0,123.0,11.0,1.91869918699187,0.08943089430894309
74,210.0,74.0,7.0,2.8378378378378377,0.0945945945945946
75,141.0,72.0,6.0,1.9583333333333333,0.08333333333333333
76,126.0,47.0,3.0,2.6808510638297873,0.06382978723404255
77,231.0,95.0,6.0,2.431578947368421,0.06315789473684211
78,231.0,84.0,8.0,2.75,0.09523809523809523
79,226.0,89.0,6.0,2.539325842696629,0.06741573033707865
80,212.0,90.0,7.0,2.3555555555555556,0.07777777777777778
81,212.0,87.0,5.0,2.4367816091954024,0.05747126436781609
82,142.0,63.0,6.0,2.253968253968254,0.09523809523809523
83,138.0,63.0,5.0,2.1904761904761907,0.07936507936507936
84,224.0,97.0,7.0,2.3092783505154637,0.07216494845360824
85,237.0,105.0,5.0,2.257142857142857,0.047619047619047616
86,221.0,120.0,5.0,1.8416666666666666,0.041666666666666664
87,210.0,105.0,6.0,2.0,0.05714285714285714
88,213.0,92.0,4.0,2.3152173913043477,0.043478260869565216
89,146.0,66.0,4.0,2.212121212121212,0.06060606060606061
90,137.0,62.0,5.0,2.2096774193548385,0.08064516129032258
91,230.0,106.0,4.0,2.169811320754717,0.03773584905660377
92,245.0,100.0,7.0,2.45,0.07
93,221.0,98.0,7.0,2.2551020408163267,0.07142857142857142
94,223.0,94.0,6.0,2.372340425531915,0.06382978723404255
95,211.0,93.0,6.0,2.2688172043010755,0.06451612903225806
96,153.0,71.0,6.0,2.1549295774647885,0.08450704225352113
97,152.0,69.0,6.0,2.2028985507246377,0.08695652173913043
98,232.0,118.0,4.0,1.9661016949152543,0.03389830508474576
99,233.0,114.0,11.0,2.043859649122807,0.09649122807017543
100,224.0,106.0,11.0,2.1132075471698113,0.10377358490566038
101,237.0,114.0,10.0,2.0789473684210527,0.08771929824561403
102,214.0,95.0,8.0,2.2526315789473683,0.08421052631578947
103,136.0,59.0,3.0,2.305084745762712,0.05084745762711865
104,133.0,61.0,5.0,2.180327868852459,0.08196721311475409
105,220.0,113.0,12.0,1.9469026548672566,0.10619469026548672
106,221.0,97.0,8.0,2.2783505154639174,0.08247422680412371
107,209.0,81.0,4.0,2.580246913580247,0.04938271604938271
108,230.0,100.0,7.0,2.3,0.07
109,202.0,89.0,9.0,2.269662921348315,0.10112359550561797
110,148.0,72.0,5.0,2.0555555555555554,0.06944444444444445
111,127.0,50.0,3.0,2.54,0.06
112,217.0,108.0,10.0,2.009259259259259,0.09259259259259259
113,226.0,107.0,4.0,2.1121495327102804,0.037383177570093455
114,215.0,107.0,7.0,2.0093457943925235,0.06542056074766354
115,260.0,118.0,4.0,2.2033898305084745,0.03389830508474576
116,205.0,99.0,7.0,2.0707070707070705,0.0707070707070707
117,137.0,65.0,4.0,2.1076923076923078,0.06153846153846154
118,131.0,64.0,4.0,2.046875,0.0625
119,214.0,99.0,4.0,2.1616161616161618,0.04040404040404041
120,228.0,90.0,5.0,2.533333333333333,0.05555555555555555
121,211.0,86.0,6.0,2.453488372093023,0.06976744186046512
122,206.0,93.0,9.0,2.21505376344086,0.0967741935483871
123,202.0,95.0,8.0,2.126315789473684,0.08421052631578947
124,139.0,65.0,4.0,2.1384615384615384,0.06153846153846154
125,123.0,48.0,3.0,2.5625,0.0625
126,219.0,107.0,6.0,2.046728971962617,0.056074766355140186
127,233.0,104.0,6.0,2.2403846153846154,0.057692307692307696
128,210.0,99.0,8.0,2.121212121212121,0.08080808080808081
129,239.0,123.0,7.0,1.943089430894309,0.056910569105691054
130,209.0,93.0,8.0,2.247311827956989,0.08602150537634409
131,135.0,64.0,4.0,2.109375,0.0625
132,129.0,66.0,4.0,1.9545454545454546,0.06060606060606061
133,204.0,82.0,7.0,2.4878048780487805,0.08536585365853659
134,231.0,131.0,9.0,1.7633587786259541,0.06870229007633588
135,213.0,84.0,6.0,2.5357142857142856,0.07142857142857142
136,226.0,99.0,7.0,2.282828282828283,0.0707070707070707
137,205.0,101.0,8.0,2.0297029702970297,0.07920792079207921
138,140.0,73.0,5.0,1.917808219178082,0.0684931506849315
139,139.0,72.0,7.0,1.9305555555555556,0.09722222222222222
140,217.0,99.0,13.0,2.191919191919192,0.13131313131313133
141,234.0,109.0,8.0,2.146788990825688,0.07339449541284404
142,212.0,94.0,5.0,2.25531914893617,0.05319148936170213
143,208.0,89.0,6.0,2.337078651685393,0.06741573033707865
144,205.0,101.0,8.0,2.0297029702970297,0.07920792079207921
145,141.0,69.0,7.0,2.0434782608695654,0.10144927536231885
146,132.0,59.0,6.0,2.23728813559322,0.1016949152542373
147,225.0,121.0,12.0,1.859504132231405,0.09917355371900827
148,232.0,99.0,11.0,2.3434343434343434,0.1111111111111111
149,220.0,97.0,6.0,2.268041237113402,0.061855670103092786
150,206.0,94.0,8.0,2.1914893617021276,0.0851063829787234
151,205.0,99.0,10.0,2.0707070707070705,0.10101010101010101
152,140.0,68.0,9.0,2.0588235294117645,0.1323529411764706
153,142.0,65.0,5.0,2.1846153846153844,0.07692307692307693
154,219.0,99.0,5.0,2.212121212121212,0.050505050505050504
155,224.0,121.0,7.0,1.8512396694214877,0.05785123966942149
156,212.0,104.0,5.0,2.0384615384615383,0.04807692307692308
157,234.0,114.0,8.0,2.0526315789473686,0.07017543859649122
158,208.0,84.0,6.0,2.4761904761904763,0.07142857142857142
159,135.0,74.0,5.0,1.8243243243243243,0.06756756756756757
160,146.0,65.0,4.0,2.246153846153846,0.06153846153846154
161,218.0,101.0,6.0,2.1584158415841586,0.0594059405940594
162,237.0,125.0,8.0,1.896,0.064
163,228.0,106.0,7.0,2.150943396226415,0.0660377358490566
164,209.0,102.0,8.0,2.049019607843137,0.0784313725490196
165,208.0,81.0,5.0,2.567901234567901,0.06172839506172839
166,148.0,78.0,4.0,1.8974358974358974,0.05128205128205128
167,142.0,58.0,5.0,2.4482758620689653,0.08620689655172414
168,224.0,95.0,8.0,2.357894736842105,0.08421052631578947
169,229.0,94.0,10.0,2.4361702127659575,0.10638297872340426
170,216.0,92.0,5.0,2.347826086956522,0.05434782608695652
171,214.0,101.0,6.0,2.118811881188119,0.0594059405940594
172,211.0,103.0,10.0,2.0485436893203883,0.0970873786407767
173,146.0,69.0,5.0,2.1159420289855073,0.07246376811594203
174,135.0,56.0,3.0,2.4107142857142856,0.05357142857142857
175,226.0,91.0,4.0,2.4835164835164836,0.04395604395604396
176,240.0,153.0,17.0,1.5686274509803921,0.1111111111111111
177,221.0,121.0,13.0,1.8264462809917354,0.10743801652892562
178,237.0,106.0,7.0,2.2358490566037736,0.0660377358490566
179,212.0,95.0,11.0,2.231578947368421,0.11578947368421053
180,135.0,67.0,4.0,2.014925373134328,0.05970149253731343
181,147.0,79.0,6.0,1.860759493670886,0.0759493670886076
182,221.0,101.0,9.0,2.1881188118811883,0.0891089108910891
183,241.0,110.0,7.0,2.190909090909091,0.06363636363636363
184,217.0,96.0,7.0,2.2604166666666665,0.07291666666666667
185,228.0,113.0,8.0,2.017699115044248,0.07079646017699115
186,223.0,101.0,6.0,2.207920792079208,0.0594059405940594
187,168.0,89.0,7.0,1.8876404494382022,0.07865168539325842
188,146.0,66.0,4.0,2.212121212121212,0.06060606060606061
189,224.0,81.0,4.0,2.765432098765432,0.04938271604938271
190,249.0,116.0,4.0,2.146551724137931,0.034482758620689655
191,237.0,89.0,11.0,2.662921348314607,0.12359550561797752
192,234.0,107.0,8.0,2.1869158878504673,0.07476635514018691
193,222.0,96.0,5.0,2.3125,0.052083333333333336
194,165.0,62.0,4.0,2.661290322580645,0.06451612903225806
195,148.0,75.0,5.0,1.9733333333333334,0.06666666666666667
196,246.0,102.0,10.0,2.411764705882353,0.09803921568627451
197,256.0,115.0,9.0,2.226086956521739,0.0782608695652174
198,240.0,115.0,7.0,2.0869565217391304,0.06086956521739131
199,225.0,98.0,6.0,2.295918367346939,0.061224489795918366
200,221.0,98.0,5.0,2.2551020408163267,0.05102040816326531
201,147.0,69.0,5.0,2.130434782608696,0.07246376811594203
202,147.0,78.0,3.0,1.8846153846153846,0.038461538461538464
203,239.0,104.0,6.0,2.298076923076923,0.057692307692307696
204,248.0,105.0,10.0,2.361904761904762,0.09523809523809523
205,235.0,102.0,8.0,2.303921568627451,0.0784313725490196
206,244.0,109.0,6.0,2.238532110091743,0.05504587155963303
207,228.0,112.0,9.0,2.0357142857142856,0.08035714285714286
208,168.0,79.0,5.0,2.1265822784810124,0.06329113924050633
209,151.0,67.0,5.0,2.253731343283582,0.07462686567164178
210,247.0,109.0,9.0,2.2660550458715596,0.08256880733944955
211,252.0,119.0,8.0,2.1176470588235294,0.06722689075630252
212,236.0,125.0,6.0,1.888,0.048
213,231.0,100.0,7.0,2.31,0.07
214,221.0,99.0,7.0,2.2323232323232323,0.0707070707070707
215,155.0,73.0,5.0,2.1232876712328768,0.0684931506849315
216,130.0,65.0,5.0,2.0,0.07692307692307693
217,236.0,117.0,11.0,2.017094017094017,0.09401709401709402
218,236.0,102.0,8.0,2.3137254901960786,0.0784313725490196
219,224.0,99.0,9.0,2.2626262626262625,0.09090909090909091
220,250.0,120.0,6.0,2.0833333333333335,0.05
221,208.0,98.0,7.0,2.122448979591837,0.07142857142857142
222,143.0,71.0,7.0,2.0140845070422535,0.09859154929577464
223,135.0,73.0,3.0,1.8493150684931507,0.0410958904109589
224,234.0,101.0,6.0,2.3168316831683167,0.0594059405940594
225,234.0,108.0,6.0,2.1666666666666665,0.05555555555555555
226,219.0,101.0,5.0,2.1683168316831685,0.04950495049504951
227,214.0,99.0,7.0,2.1616161616161618,0.0707070707070707
228,211.0,94.0,7.0,2.24468085106383,0.07446808510638298
229,144.0,61.0,4.0,2.360655737704918,0.06557377049180328
230,142.0,78.0,6.0,1.8205128205128205,0.07692307692307693
231,211.0,88.0,7.0,2.397727272727273,0.07954545454545454
232,224.0,107.0,7.0,2.0934579439252334,0.06542056074766354
233,219.0,101.0,7.0,2.1683168316831685,0.06930693069306931
234,192.0,81.0,6.0,2.3703703703703702,0.07407407407407407
235,207.0,101.0,4.0,2.0495049504950495,0.039603960396039604
236,147.0,61.0,5.0,2.4098360655737703,0.08196721311475409
237,136.0,62.0,4.0,2.193548387096774,0.06451612903225806
238,218.0,81.0,4.0,2.691358024691358,0.04938271604938271
239,231.0,115.0,6.0,2.008695652173913,0.05217391304347826
240,213.0,109.0,11.0,1.9541284403669725,0.10091743119266056
241,243.0,112.0,6.0,2.169642857142857,0.05357142857142857
242,205.0,90.0,6.0,2.2777777777777777,0.06666666666666667
243,150.0,63.0,5.0,2.380952380952381,0.07936507936507936
244,144.0,60.0,5.0,2.4,0.08333333333333333
245,226.0,87.0,5.0,2.5977011494252875,0.05747126436781609
246,233.0,116.0,10.0,2.0086206896551726,0.08620689655172414
247,218.0,104.0,8.0,2.0961538461538463,0.07692307692307693
248,219.0,104.0,5.0,2.105769230769231,0.04807692307692308
249,207.0,90.0,9.0,2.3,0.1
250,133.0,55.0,4.0,2.418181818181818,0.07272727272727272
251,132.0,63.0,5.0,2.0952380952380953,0.07936507936507936
252,215.0,86.0,12.0,2.5,0.13953488372093023
253,223.0,103.0,13.0,2.1650485436893203,0.1262135922330097
254,221.0,95.0,6.0,2.3263157894736843,0.06315789473684211
255,220.0,104.0,11.0,2.1153846153846154,0.10576923076923077
256,210.0,98.0,10.0,2.142857142857143,0.10204081632653061
257,139.0,61.0,4.0,2.278688524590164,0.06557377049180328
258,140.0,63.0,6.0,2.2222222222222223,0.09523809523809523
259,229.0,106.0,8.0,2.160377358490566,0.07547169811320754
260,230.0,94.0,7.0,2.4468085106382977,0.07446808510638298
261,218.0,91.0,8.0,2.3956043956043955,0.08791208791208792
262,229.0,109.0,8.0,2.1009174311926606,0.07339449541284404
263,211.0,83.0,9.0,2.5421686746987953,0.10843373493975904
264,154.0,70.0,6.0,2.2,0.08571428571428572
265,142.0,71.0,5.0,2.0,0.07042253521126761
266,232.0,98.0,8.0,2.36734693877551,0.08163265306122448
267,228.0,101.0,9.0,2.257425742574257,0.0891089108910891
268,220.0,105.0,6.0,2.0952380952380953,0.05714285714285714
269,235.0,119.0,8.0,1.9747899159663866,0.06722689075630252
270,209.0,97.0,8.0,2.154639175257732,0.08247422680412371
271,141.0,61.0,4.0,2.3114754098360657,0.06557377049180328
272,127.0,59.0,3.0,2.152542372881356,0.05084745762711865
273,221.0,108.0,7.0,2.0462962962962963,0.06481481481481481
274,231.0,98.0,6.0,2.357142857142857,0.061224489795918366
275,215.0,104.0,8.0,2.0673076923076925,0.07692307692307693
276,235.0,103.0,7.0,2.2815533980582523,0.06796116504854369
277,211.0,95.0,5.0,2.221052631578947,0.05263157894736842
278,149.0,69.0,5.0,2.1594202898550723,0.07246376811594203
279,130.0,66.0,3.0,1.9696969696969697,0.045454545454545456
280,222.0,96.0,7.0,2.3125,0.07291666666666667
281,230.0,106.0,8.0,2.169811320754717,0.07547169811320754
282,220.0,101.0,9.0,2.1782178217821784,0.0891089108910891
283,196.0,92.0,6.0,2.130434782608696,0.06521739130434782
284,209.0,87.0,6.0,2.4022988505747125,0.06896551724137931
285,141.0,61.0,5.0,2.3114754098360657,0.08196721311475409
286,140.0,66.0,4.0,2.121212121212121,0.06060606060606061
287,222.0,100.0,6.0,2.22,0.06
288,236.0,109.0,6.0,2.165137614678899,0.05504587155963303
289,220.0,94.0,11.0,2.3404255319148937,0.11702127659574468
290,215.0,85.0,5.0,2.5294117647058822,0.058823529411764705
291,209.0,122.0,6.0,1.7131147540983607,0.04918032786885246
292,147.0,68.0,7.0,2.161764705882353,0.10294117647058823
293,134.0,56.0,3.0,2.392857142857143,0.05357142857142857
294,220.0,103.0,7.0,2.1359223300970873,0.06796116504854369
295,231.0,99.0,9.0,2.3333333333333335,0.09090909090909091
296,214.0,86.0,4.0,2.488372093023256,0.046511627906976744
297,249.0,94.0,6.0,2.648936170212766,0.06382978723404255
298,210.0,96.0,9.0,2.1875,0.09375
299,149.0,67.0,4.0,2.2238805970149254,0.05970149253731343
300,136.0,64.0,5.0,2.125,0.078125
301,232.0,124.0,6.0,1.8709677419354838,0.04838709677419355
302,237.0,121.0,7.0,1.9586776859504131,0.05785123966942149
303,232.0,109.0,8.0,2.128440366972477,0.07339449541284404
304,220.0,110.0,9.0,2.0,0.08181818181818182
305,222.0,95.0,5.0,2.336842105263158,0.05263157894736842
306,149.0,74.0,4.0,2.0135135135135136,0.05405405405405406
307,147.0,65.0,3.0,2.2615384615384615,0.046153846153846156
308,238.0,127.0,9.0,1.874015748031496,0.07086614173228346
309,239.0,125.0,11.0,1.912,0.088
310,226.0,112.0,10.0,2.017857142857143,0.08928571428571429
311,231.0,85.0,5.0,2.7176470588235295,0.058823529411764705
312,217.0,99.0,11.0,2.191919191919192,0.1111111111111111
313,150.0,68.0,4.0,2.2058823529411766,0.058823529411764705
314,149.0,62.0,5.0,2.403225806451613,0.08064516129032258
315,251.0,111.0,6.0,2.2612612612612613,0.05405405405405406
316,251.0,112.0,8.0,2.2410714285714284,0.07142857142857142
317,230.0,101.0,6.0,2.277227722772277,0.0594059405940594
318,228.0,112.0,6.0,2.0357142857142856,0.05357142857142857
319,223.0,98.0,9.0,2.2755102040816326,0.09183673469387756
320,154.0,85.0,10.0,1.811764705882353,0.11764705882352941
321,136.0,65.0,4.0,2.0923076923076924,0.06153846153846154
322,250.0,133.0,10.0,1.8796992481203008,0.07518796992481203
323,245.0,106.0,5.0,2.311320754716981,0.04716981132075472
324,233.0,79.0,4.0,2.949367088607595,0.05063291139240506
325,238.0,91.0,5.0,2.6153846153846154,0.054945054945054944
326,224.0,115.0,8.0,1.9478260869565218,0.06956521739130435
327,160.0,73.0,4.0,2.191780821917808,0.0547945205479452
328,151.0,71.0,7.0,2.1267605633802815,0.09859154929577464
329,244.0,112.0,7.0,2.1785714285714284,0.0625
330,273.0,112.0,10.0,2.4375,0.08928571428571429
331,253.0,102.0,6.0,2.480392156862745,0.058823529411764705
332,241.0,106.0,13.0,2.2735849056603774,0.12264150943396226
333,245.0,111.0,5.0,2.2072072072072073,0.04504504504504504
334,168.0,71.0,5.0,2.3661971830985915,0.07042253521126761
335,158.0,83.0,7.0,1.9036144578313252,0.08433734939759036
336,266.0,118.0,7.0,2.2542372881355934,0.059322033898305086
337,283.0,132.0,10.0,2.143939393939394,0.07575757575757576
338,257.0,114.0,11.0,2.254385964912281,0.09649122807017543
339,266.0,115.0,10.0,2.3130434782608695,0.08695652173913043
340,240.0,96.0,6.0,2.5,0.0625
341,160.0,79.0,4.0,2.0253164556962027,0.05063291139240506
342,190.0,76.0,5.0,2.5,0.06578947368421052
343,301.0,149.0,7.0,2.0201342281879193,0.04697986577181208
344,296.0,139.0,8.0,2.129496402877698,0.05755395683453238
345,294.0,127.0,8.0,2.3149606299212597,0.06299212598425197
346,317.0,138.0,8.0,2.2971014492753623,0.057971014492753624
347,282.0,125.0,6.0,2.256,0.048
348,186.0,87.0,6.0,2.1379310344827585,0.06896551724137931
349,189.0,87.0,11.0,2.1724137931034484,0.12643678160919541
350,306.0,140.0,8.0,2.1857142857142855,0.05714285714285714
351,309.0,142.0,8.0,2.176056338028169,0.056338028169014086
352,297.0,127.0,9.0,2.338582677165354,0.07086614173228346
353,313.0,155.0,8.0,2.0193548387096776,0.05161290322580645
354,280.0,125.0,8.0,2.24,0.064
355,177.0,72.0,5.0,2.4583333333333335,0.06944444444444445
356,189.0,80.0,5.0,2.3625,0.0625
357,295.0,158.0,11.0,1.8670886075949367,0.06962025316455696
358,300.0,144.0,9.0,2.0833333333333335,0.0625
359,294.0,115.0,15.0,2.5565217391304347,0.13043478260869565
360,284.0,126.0,11.0,2.253968253968254,0.0873015873015873
361,283.0,104.0,6.0,2.7211538461538463,0.057692307692307696
362,205.0,102.0,7.0,2.0098039215686274,0.06862745098039216
363,182.0,82.0,5.0,2.2195121951219514,0.06097560975609756
364,301.0,120.0,12.0,2.5083333333333333,0.1
365,309.0,143.0,8.0,2.160839160839161,0.055944055944055944
366,296.0,162.0,13.0,1.8271604938271604,0.08024691358024691
367,365.0,182.0,14.0,2.0054945054945055,0.07692307692307693
368,345.0,161.0,19.0,2.142857142857143,0.11801242236024845
369,239.0,101.0,10.0,2.366336633663366,0.09900990099009901
370,230.0,105.0,6.0,2.1904761904761907,0.05714285714285714
371,372.0,179.0,15.0,2.078212290502793,0.08379888268156424
372,377.0,157.0,11.0,2.4012738853503186,0.07006369426751592
373,368.0,165.0,13.0,2.2303030303030305,0.07878787878787878
374,340.0,128.0,8.0,2.65625,0.0625
375,347.0,161.0,9.0,2.1552795031055902,0.055900621118012424
376,243.0,107.0,6.0,2.2710280373831777,0.056074766355140186
377,204.0,85.0,9.0,2.4,0.10588235294117647
378,371.0,192.0,14.0,1.9322916666666667,0.07291666666666667
379,392.0,189.0,20.0,2.074074074074074,0.10582010582010581
380,351.0,156.0,9.0,2.25,0.057692307692307696
381,348.0,163.0,12.0,2.1349693251533743,0.0736196319018405
382,346.0,142.0,11.0,2.436619718309859,0.07746478873239436
383,225.0,91.0,8.0,2.4725274725274726,0.08791208791208792
384,219.0,99.0,5.0,2.212121212121212,0.050505050505050504
385,385.0,189.0,21.0,2.037037037037037,0.1111111111111111
386,376.0,178.0,9.0,2.1123595505617976,0.05056179775280899
387,366.0,156.0,10.0,2.3461538461538463,0.0641025641025641
388,361.0,185.0,13.0,1.9513513513513514,0.07027027027027027
389,346.0,178.0,11.0,1.9438202247191012,0.06179775280898876
390,239.0,93.0,6.0,2.5698924731182795,0.06451612903225806
391,228.0,103.0,7.0,2.2135922330097086,0.06796116504854369
392,375.0,176.0,14.0,2.1306818181818183,0.07954545454545454
393,402.0,159.0,15.0,2.5283018867924527,0.09433962264150944
394,363.0,164.0,8.0,2.2134146341463414,0.04878048780487805
395,416.0,188.0,13.0,2.2127659574468086,0.06914893617021277
396,358.0,144.0,6.0,2.486111111111111,0.041666666666666664
397,251.0,120.0,6.0,2.091666666666667,0.05
398,227.0,78.0,7.0,2.91025641025641,0.08974358974358974
399,385.0,177.0,13.0,2.175141242937853,0.07344632768361582
400,389.0,174.0,12.0,2.235632183908046,0.06896551724137931
401,372.0,167.0,11.0,2.2275449101796405,0.0658682634730539
402,376.0,166.0,14.0,2.2650602409638556,0.08433734939759036
403,356.0,134.0,10.0,2.656716417910448,0.07462686567164178
404,426.0,231.0,14.0,1.844155844155844,0.06060606060606061
405,236.0,116.0,7.0,2.0344827586206895,0.0603448275862069
406,420.0,187.0,12.0,2.2459893048128343,0.06417112299465241
407,397.0,167.0,10.0,2.377245508982036,0.059880239520958084
408,371.0,189.0,12.0,1.962962962962963,0.06349206349206349
409,344.0,157.0,8.0,2.1910828025477707,0.050955414012738856
410,352.0,136.0,14.0,2.588235294117647,0.10294117647058823
411,251.0,138.0,7.0,1.818840579710145,0.050724637681159424
412,232.0,115.0,8.0,2.017391304347826,0.06956521739130435
413,382.0,189.0,11.0,2.0211640211640214,0.0582010582010582
414,391.0,178.0,16.0,2.196629213483146,0.0898876404494382
415,372.0,152.0,11.0,2.4473684210526314,0.07236842105263158
416,402.0,181.0,18.0,2.2209944751381214,0.09944751381215469
417,357.0,179.0,12.0,1.994413407821229,0.0670391061452514
418,242.0,111.0,12.0,2.18018018018018,0.10810810810810811
419,218.0,104.0,7.0,2.0961538461538463,0.0673076923076923
420,394.0,188.0,15.0,2.095744680851064,0.0797872340425532
421,381.0,191.0,18.0,1.9947643979057592,0.09424083769633508
422,379.0,150.0,9.0,2.526666666666667,0.06
423,386.0,170.0,12.0,2.2705882352941176,0.07058823529411765
424,358.0,170.0,12.0,2.1058823529411765,0.07058823529411765
425,240.0,103.0,5.0,2.3300970873786406,0.04854368932038835
426,235.0,111.0,5.0,2.1171171171171173,0.04504504504504504
427,388.0,213.0,12.0,1.8215962441314555,0.056338028169014086
428,406.0,264.0,17.0,1.5378787878787878,0.06439393939393939
429,381.0,161.0,6.0,2.3664596273291925,0.037267080745341616
430,394.0,173.0,15.0,2.277456647398844,0.08670520231213873
431,362.0,145.0,15.0,2.496551724137931,0.10344827586206896
432,247.0,123.0,7.0,2.008130081300813,0.056910569105691054
433,259.0,114.0,9.0,2.2719298245614037,0.07894736842105263
434,402.0,200.0,12.0,2.01,0.06
435,409.0,179.0,10.0,2.2849162011173183,0.055865921787709494
436,399.0,181.0,12.0,2.2044198895027622,0.06629834254143646
437,371.0,182.0,15.0,2.0384615384615383,0.08241758241758242
438,376.0,168.0,13.0,2.238095238095238,0.07738095238095238
439,242.0,104.0,7.0,2.326923076923077,0.0673076923076923
440,249.0,117.0,12.0,2.128205128205128,0.10256410256410256
441,382.0,187.0,10.0,2.0427807486631018,0.053475935828877004
442,419.0,217.0,18.0,1.9308755760368663,0.08294930875576037
443,405.0,163.0,13.0,2.4846625766871164,0.07975460122699386
444,405.0,185.0,13.0,2.189189189189189,0.07027027027027027
445,380.0,166.0,14.0,2.289156626506024,0.08433734939759036
446,268.0,110.0,8.0,2.4363636363636365,0.07272727272727272
447,237.0,100.0,4.0,2.37,0.04
448,406.0,189.0,10.0,2.1481481481481484,0.05291005291005291
449,415.0,184.0,13.0,2.255434782608696,0.07065217391304347
450,387.0,179.0,13.0,2.1620111731843576,0.07262569832402235
451,399.0,167.0,7.0,2.3892215568862274,0.041916167664670656
