Date,Campaign,Ad Group,Impressions,Clicks,CTR,Avg CPM,Avg CPC,Cost,Avg Position,Conversions,Cost / Conversion
"08 September, 2011",Mountain Bikes,Athletic Bikes,7422,64,0.86%,$15.48,$1.8,$114.89,1.1,12,$9.57
"08 September, 2011",Mountain Bikes,Adult Bikes,6031,76,1.26%,$24.32,$1.93,$146.68,1.4,5,$29.34
"08 September, 2011",Mountain Bikes,Kids Bikes,7647,91,1.19%,$13.53,$1.14,$103.45,3.5,5,$20.69
"09 September, 2011",Mountain Bikes,Common Keywords,6110,44,0.72%,$14.6,$2.03,$89.2,3.9,4,$22.3
"09 September, 2011",Mountain Bikes,Athletic Bikes,9499,98,1.03%,$16.66,$1.62,$158.29,1.1,7,$22.61
"09 September, 2011",Mountain Bikes,Adult Bikes,6358,65,1.02%,$13.43,$1.31,$85.4,1.4,4,$21.35
"09 September, 2011",Mountain Bikes,Kids Bikes,9303,73,0.78%,$4.36,$0.56,$40.55,4.6,14,$2.9
"10 September, 2011",Mountain Bikes,Common Keywords,6344,91,1.43%,$18.18,$1.27,$115.35,4.2,5,$23.07
"10 September, 2011",Mountain Bikes,Athletic Bikes,6475,78,1.20%,$25.71,$2.13,$166.47,1.2,15,$11.1
"10 September, 2011",Mountain Bikes,Adult Bikes,9894,61,0.62%,$6.8,$1.1,$67.33,1.4,8,$8.42
"10 September, 2011",Mountain Bikes,Kids Bikes,8376,37,0.44%,$3.47,$0.78,$29.04,3.8,15,$1.94
"11 September, 2011",Mountain Bikes,Common Keywords,7751,35,0.45%,$5.88,$1.3,$45.58,4.5,9,$5.06
"11 September, 2011",Mountain Bikes,Athletic Bikes,9289,67,0.72%,$15.74,$2.18,$146.24,1.3,7,$20.89
"11 September, 2011",Mountain Bikes,Adult Bikes,7711,32,0.41%,$7.49,$1.81,$57.77,1.2,14,$4.13
"11 September, 2011",Mountain Bikes,Kids Bikes,8480,79,0.93%,$11.83,$1.27,$100.32,3,15,$6.69
"12 September, 2011",Mountain Bikes,Common Keywords,9065,46,0.51%,$6.32,$1.24,$57.27,4,5,$11.45
"12 September, 2011",Mountain Bikes,Athletic Bikes,6508,93,1.43%,$21.67,$1.52,$141.02,1.3,13,$10.85
"12 September, 2011",Mountain Bikes,Adult Bikes,9593,33,0.34%,$8.11,$2.36,$77.85,1.1,6,$12.97
"12 September, 2011",Mountain Bikes,Kids Bikes,8775,58,0.66%,$15.85,$2.4,$139.09,2.8,10,$13.91
"13 September, 2011",Mountain Bikes,Common Keywords,9011,62,0.69%,$8.71,$1.27,$78.46,3.9,12,$6.54
"13 September, 2011",Mountain Bikes,Athletic Bikes,9807,92,0.94%,$17.76,$1.89,$174.14,1.5,8,$21.77
"13 September, 2011",Mountain Bikes,Adult Bikes,8517,47,0.55%,$8.39,$1.52,$71.5,1.1,3,$23.83
"13 September, 2011",Mountain Bikes,Kids Bikes,8509,38,0.45%,$10.19,$2.28,$86.71,2,5,$17.34
"14 September, 2011",Mountain Bikes,Common Keywords,6339,82,1.29%,$20.89,$1.61,$132.4,4.1,13,$10.18
"14 September, 2011",Mountain Bikes,Athletic Bikes,6015,38,0.63%,$3.25,$0.51,$19.56,1.4,10,$1.96
"14 September, 2011",Mountain Bikes,Adult Bikes,7317,84,1.15%,$7.74,$0.67,$56.61,1.3,4,$14.15
"14 September, 2011",Mountain Bikes,Kids Bikes,9248,77,0.83%,$17.87,$2.15,$165.26,1,10,$16.53
"15 September, 2011",Mountain Bikes,Common Keywords,6937,71,1.02%,$15.34,$1.5,$106.42,4.4,10,$10.64
"15 September, 2011",Mountain Bikes,Athletic Bikes,9589,74,0.77%,$15.94,$2.07,$152.85,1.3,8,$19.11
"15 September, 2011",Mountain Bikes,Adult Bikes,7961,41,0.52%,$2.86,$0.56,$22.77,1.4,5,$4.55
"15 September, 2011",Mountain Bikes,Kids Bikes,7975,31,0.39%,$4.09,$1.05,$32.6,4.9,14,$2.33
"16 September, 2011",Mountain Bikes,Common Keywords,7805,99,1.27%,$27.54,$2.17,$214.95,4,9,$23.88
"16 September, 2011",Mountain Bikes,Athletic Bikes,8943,31,0.35%,$6.29,$1.81,$56.25,1.3,14,$4.02
"16 September, 2011",Mountain Bikes,Adult Bikes,8465,81,0.96%,$19.56,$2.04,$165.55,1.4,15,$11.04
"16 September, 2011",Mountain Bikes,Kids Bikes,6538,66,1.01%,$6.82,$0.68,$44.57,3.2,13,$3.43
"17 September, 2011",Mountain Bikes,Common Keywords,8347,63,0.75%,$15.75,$2.09,$131.5,4,13,$10.12
"17 September, 2011",Mountain Bikes,Athletic Bikes,9205,58,0.63%,$9.99,$1.58,$91.92,1.3,9,$10.21
"17 September, 2011",Mountain Bikes,Adult Bikes,7993,52,0.65%,$10.56,$1.62,$84.38,1.4,14,$6.03
"17 September, 2011",Mountain Bikes,Kids Bikes,7504,64,0.85%,$17.21,$2.02,$129.13,2.2,5,$25.83
"18 September, 2011",Mountain Bikes,Common Keywords,9499,98,1.03%,$10.74,$1.04,$102,3.7,6,$17
"18 September, 2011",Mountain Bikes,Athletic Bikes,6327,89,1.41%,$27.87,$1.98,$176.31,1.2,9,$19.59
"18 September, 2011",Mountain Bikes,Adult Bikes,8347,74,0.89%,$16.35,$1.84,$136.44,1.4,13,$10.5
"18 September, 2011",Mountain Bikes,Kids Bikes,6612,89,1.35%,$27.26,$2.03,$180.23,2.8,3,$60.08
"19 September, 2011",Mountain Bikes,Common Keywords,7035,54,0.77%,$18.53,$2.41,$130.35,3.9,9,$14.48
"19 September, 2011",Mountain Bikes,Athletic Bikes,9350,91,0.97%,$7.77,$0.8,$72.62,1.2,5,$14.52
"19 September, 2011",Mountain Bikes,Adult Bikes,9484,82,0.86%,$16.92,$1.96,$160.43,1.3,5,$32.09
"19 September, 2011",Mountain Bikes,Kids Bikes,9690,92,0.95%,$16.63,$1.75,$161.14,1.1,5,$32.23
"20 September, 2011",Mountain Bikes,Common Keywords,6582,36,0.55%,$13.03,$2.38,$85.78,3.7,13,$6.6
"20 September, 2011",Mountain Bikes,Athletic Bikes,7648,48,0.63%,$9.09,$1.45,$69.55,1.2,11,$6.32
"20 September, 2011",Mountain Bikes,Adult Bikes,7031,53,0.75%,$6.93,$0.92,$48.71,1.3,7,$6.96
"20 September, 2011",Mountain Bikes,Kids Bikes,8688,38,0.44%,$6,$1.37,$52.11,3,6,$8.68
"21 September, 2011",Mountain Bikes,Common Keywords,8525,61,0.72%,$16,$2.24,$136.37,3.7,4,$34.09
"21 September, 2011",Mountain Bikes,Athletic Bikes,8985,89,0.99%,$13.56,$1.37,$121.81,1.2,15,$8.12
"21 September, 2011",Mountain Bikes,Adult Bikes,9793,70,0.71%,$15.66,$2.19,$153.4,1.4,5,$30.68
"21 September, 2011",Mountain Bikes,Kids Bikes,9165,35,0.38%,$5.3,$1.39,$48.59,3.4,5,$9.72
"22 September, 2011",Mountain Bikes,Common Keywords,7899,36,0.46%,$10.74,$2.36,$84.86,3.9,9,$9.43
"22 September, 2011",Mountain Bikes,Athletic Bikes,9534,32,0.34%,$2.81,$0.84,$26.79,1.4,9,$2.98
"22 September, 2011",Mountain Bikes,Adult Bikes,9466,95,1.00%,$8.79,$0.88,$83.22,1.7,4,$20.8
"22 September, 2011",Mountain Bikes,Kids Bikes,7507,60,0.80%,$15.23,$1.91,$114.35,4.4,12,$9.53
"23 September, 2011",Mountain Bikes,Common Keywords,7578,34,0.45%,$10.32,$2.3,$78.2,3.9,14,$5.59
"23 September, 2011",Mountain Bikes,Athletic Bikes,9068,95,1.05%,$20.62,$1.97,$186.94,1.4,12,$15.58
"23 September, 2011",Mountain Bikes,Adult Bikes,7785,37,0.48%,$10.07,$2.12,$78.38,1.6,3,$26.13
"23 September, 2011",Mountain Bikes,Kids Bikes,9253,77,0.83%,$4.22,$0.51,$39.09,5,4,$9.77
"24 September, 2011",Mountain Bikes,Common Keywords,7765,36,0.46%,$6.46,$1.39,$50.2,3.9,12,$4.18
"24 September, 2011",Mountain Bikes,Athletic Bikes,7209,76,1.05%,$5.61,$0.53,$40.41,1.3,4,$10.1
"24 September, 2011",Mountain Bikes,Adult Bikes,7300,49,0.67%,$11.61,$1.73,$84.76,1.7,6,$14.13
"24 September, 2011",Mountain Bikes,Kids Bikes,8053,61,0.76%,$8.58,$1.13,$69.13,1.8,10,$6.91
"25 September, 2011",Mountain Bikes,Common Keywords,7890,71,0.90%,$17.14,$1.9,$135.24,3.7,5,$27.05
"25 September, 2011",Mountain Bikes,Athletic Bikes,7442,37,0.50%,$3.78,$0.76,$28.13,1.4,3,$9.38
"25 September, 2011",Mountain Bikes,Adult Bikes,8508,31,0.36%,$4.13,$1.13,$35.1,1.8,9,$3.9
"25 September, 2011",Mountain Bikes,Kids Bikes,8052,41,0.51%,$8.51,$1.67,$68.53,3,13,$5.27
"26 September, 2011",Mountain Bikes,Common Keywords,8593,47,0.55%,$6.72,$1.23,$57.78,3.7,6,$9.63
"26 September, 2011",Mountain Bikes,Athletic Bikes,9084,37,0.41%,$3.74,$0.92,$33.95,1.2,7,$4.85
"26 September, 2011",Mountain Bikes,Adult Bikes,9955,81,0.81%,$10.79,$1.33,$107.42,1.6,5,$21.48
"26 September, 2011",Mountain Bikes,Kids Bikes,9024,94,1.04%,$9.5,$0.91,$85.76,1,4,$21.44
"27 September, 2011",Mountain Bikes,Common Keywords,7978,63,0.79%,$15.73,$1.99,$125.48,3.7,7,$17.93
"27 September, 2011",Mountain Bikes,Athletic Bikes,6570,42,0.64%,$14.6,$2.28,$95.94,1.3,7,$13.71
"27 September, 2011",Mountain Bikes,Adult Bikes,8868,73,0.82%,$17.1,$2.08,$151.64,1.7,13,$11.66
"27 September, 2011",Mountain Bikes,Kids Bikes,8191,94,1.15%,$25.78,$2.25,$211.12,1,14,$15.08
"28 September, 2011",Mountain Bikes,Common Keywords,8319,66,0.79%,$8.13,$1.02,$67.6,3.8,13,$5.2
"28 September, 2011",Mountain Bikes,Athletic Bikes,6390,70,1.10%,$11.17,$1.02,$71.39,1.7,11,$6.49
"28 September, 2011",Mountain Bikes,Adult Bikes,8322,63,0.76%,$4.56,$0.6,$37.96,1.8,8,$4.74
"28 September, 2011",Mountain Bikes,Kids Bikes,6218,33,0.53%,$8.43,$1.59,$52.45,4.8,4,$13.11
"29 September, 2011",Mountain Bikes,Common Keywords,6249,63,1.01%,$13.89,$1.38,$86.82,3.7,4,$21.7
"29 September, 2011",Mountain Bikes,Athletic Bikes,6519,54,0.83%,$9.68,$1.17,$63.07,1.3,8,$7.88
"29 September, 2011",Mountain Bikes,Adult Bikes,7549,65,0.86%,$13.92,$1.62,$105.12,1.9,11,$9.56
"29 September, 2011",Mountain Bikes,Kids Bikes,8329,54,0.65%,$10.87,$1.68,$90.51,1.9,3,$30.17
"30 September, 2011",Mountain Bikes,Common Keywords,7452,50,0.67%,$11.09,$1.65,$82.64,3.9,5,$16.53
"30 September, 2011",Mountain Bikes,Athletic Bikes,9411,62,0.66%,$14.02,$2.13,$131.96,1.4,10,$13.2
"30 September, 2011",Mountain Bikes,Adult Bikes,7823,33,0.42%,$9.1,$2.16,$71.22,1.7,11,$6.47
"30 September, 2011",Mountain Bikes,Kids Bikes,8935,41,0.46%,$7.6,$1.66,$67.87,1.2,14,$4.85
"01 October, 2011",Mountain Bikes,Common Keywords,7594,86,1.13%,$11.29,$1,$85.75,3.7,3,$28.58
"01 October, 2011",Mountain Bikes,Athletic Bikes,7461,43,0.58%,$4.14,$0.72,$30.85,1.3,6,$5.14
"01 October, 2011",Mountain Bikes,Adult Bikes,7663,81,1.06%,$21.05,$1.99,$161.3,1.6,15,$10.75
"01 October, 2011",Mountain Bikes,Kids Bikes,6592,91,1.38%,$9.81,$0.71,$64.7,4,6,$10.78
"01 October, 2011",Mountain Bikes,Common Keywords,6692,53,0.79%,$17.44,$2.2,$116.7,3.9,4,$29.18
"01 October, 2011",Mountain Bikes,Athletic Bikes,9270,43,0.46%,$9.9,$2.13,$91.75,1.1,9,$10.19
"01 October, 2011",Mountain Bikes,Adult Bikes,8660,64,0.74%,$14.62,$1.98,$126.59,1.8,3,$42.2
"01 October, 2011",Mountain Bikes,Kids Bikes,6902,78,1.13%,$28.24,$2.5,$194.94,2,3,$64.98
"02 October, 2011",Mountain Bikes,Common Keywords,9689,93,0.96%,$20.21,$2.11,$195.85,3.9,5,$39.17
"02 October, 2011",Mountain Bikes,Athletic Bikes,6100,62,1.02%,$18.99,$1.87,$115.85,1.2,15,$7.72
"02 October, 2011",Mountain Bikes,Adult Bikes,7590,39,0.51%,$5.17,$1.01,$39.21,1.4,13,$3.02
"03 October, 2011",Mountain Bikes,Common Keywords,7394,87,1.18%,$6.93,$0.59,$51.22,3.6,11,$4.66
"03 October, 2011",Mountain Bikes,Athletic Bikes,9035,30,0.33%,$5.59,$1.68,$50.5,1.2,12,$4.21
"03 October, 2011",Mountain Bikes,Adult Bikes,8676,66,0.76%,$16.55,$2.18,$143.61,1.4,15,$9.57
"04 October, 2011",Mountain Bikes,Common Keywords,7506,84,1.12%,$17.26,$1.54,$129.58,3.8,6,$21.6
"04 October, 2011",Mountain Bikes,Athletic Bikes,7503,78,1.04%,$6.46,$0.62,$48.44,1.4,15,$3.23
"04 October, 2011",Mountain Bikes,Adult Bikes,7967,61,0.77%,$16.03,$2.09,$127.68,2,7,$18.24
"04 October, 2011",Mountain Bikes,Kids Bikes,7519,95,1.26%,$9.46,$0.75,$71.12,4.1,3,$23.71
"05 October, 2011",Mountain Bikes,Common Keywords,6037,97,1.61%,$33.55,$2.09,$202.53,3.7,5,$40.51
"05 October, 2011",Mountain Bikes,Athletic Bikes,9278,44,0.47%,$9.78,$2.06,$90.76,1.3,13,$6.98
"05 October, 2011",Mountain Bikes,Adult Bikes,8334,97,1.16%,$9.19,$0.79,$76.57,2.3,11,$6.96
"05 October, 2011",Mountain Bikes,Kids Bikes,6952,74,1.06%,$15.05,$1.41,$104.62,3.2,15,$6.97
"06 October, 2011",Mountain Bikes,Common Keywords,7717,99,1.28%,$24.57,$1.92,$189.6,3.3,10,$18.96
"06 October, 2011",Mountain Bikes,Athletic Bikes,8094,78,0.96%,$23.87,$2.48,$193.19,1.2,8,$24.15
"06 October, 2011",Mountain Bikes,Adult Bikes,7004,52,0.74%,$16.21,$2.18,$113.53,1.8,12,$9.46
"06 October, 2011",Mountain Bikes,Kids Bikes,9507,67,0.70%,$8.27,$1.17,$78.66,1.5,13,$6.05
"07 October, 2011",Mountain Bikes,Common Keywords,7584,88,1.16%,$15.69,$1.35,$118.97,3.7,9,$13.22
"07 October, 2011",Mountain Bikes,Athletic Bikes,6669,37,0.55%,$12.1,$2.18,$80.69,1.3,14,$5.76
"07 October, 2011",Mountain Bikes,Adult Bikes,8656,46,0.53%,$6.06,$1.14,$52.45,1.9,10,$5.25
"07 October, 2011",Mountain Bikes,Kids Bikes,7326,56,0.76%,$5.49,$0.72,$40.19,1.2,11,$3.65
"08 October, 2011",Mountain Bikes,Common Keywords,8949,39,0.44%,$2.99,$0.69,$26.75,3.6,10,$2.68
"08 October, 2011",Mountain Bikes,Athletic Bikes,7635,90,1.18%,$20.02,$1.7,$152.86,1.3,15,$10.19
"08 October, 2011",Mountain Bikes,Adult Bikes,9028,56,0.62%,$7.49,$1.21,$67.64,1.9,8,$8.45
"08 October, 2011",Mountain Bikes,Kids Bikes,7971,59,0.74%,$17.32,$2.34,$138.08,3.5,8,$17.26
"09 October, 2011",Mountain Bikes,Common Keywords,9827,94,0.96%,$12.53,$1.31,$123.09,3.4,11,$11.19
"09 October, 2011",Mountain Bikes,Athletic Bikes,6797,41,0.60%,$3.11,$0.52,$21.16,1.2,8,$2.65
"09 October, 2011",Mountain Bikes,Adult Bikes,8132,93,1.14%,$14.2,$1.24,$115.45,1.7,11,$10.5
"10 October, 2011",Mountain Bikes,Common Keywords,6651,80,1.20%,$12.33,$1.03,$82,3.4,14,$5.86
"10 October, 2011",Mountain Bikes,Athletic Bikes,9584,41,0.43%,$5.39,$1.26,$51.65,1.2,10,$5.16
"10 October, 2011",Mountain Bikes,Adult Bikes,9732,60,0.62%,$12.7,$2.06,$123.57,1.8,4,$30.89
"11 October, 2011",Mountain Bikes,Common Keywords,7687,66,0.86%,$8.05,$0.94,$61.86,3.7,11,$5.62
"11 October, 2011",Mountain Bikes,Athletic Bikes,9913,50,0.50%,$10.41,$2.06,$103.21,1.3,6,$17.2
"11 October, 2011",Mountain Bikes,Adult Bikes,6729,50,0.74%,$15.8,$2.13,$106.29,2.2,10,$10.63
"11 October, 2011",Mountain Bikes,Kids Bikes,9172,55,0.60%,$12.78,$2.13,$117.18,3.2,6,$19.53
"12 October, 2011",Mountain Bikes,Common Keywords,9738,86,0.88%,$13.13,$1.49,$127.81,3.1,9,$14.2
"12 October, 2011",Mountain Bikes,Athletic Bikes,9272,61,0.66%,$6.72,$1.02,$62.34,1.3,7,$8.91
"12 October, 2011",Mountain Bikes,Adult Bikes,8589,94,1.09%,$20.32,$1.86,$174.53,2.6,7,$24.93
"12 October, 2011",Mountain Bikes,Kids Bikes,7409,95,1.28%,$27.05,$2.11,$200.41,4.6,9,$22.27
"13 October, 2011",Mountain Bikes,Common Keywords,8857,49,0.55%,$11.94,$2.16,$105.8,3.6,10,$10.58
"13 October, 2011",Mountain Bikes,Athletic Bikes,7865,38,0.48%,$4.93,$1.02,$38.81,1.2,7,$5.54
"13 October, 2011",Mountain Bikes,Adult Bikes,9710,54,0.56%,$4.36,$0.78,$42.34,2.7,14,$3.02
"13 October, 2011",Mountain Bikes,Kids Bikes,9120,71,0.78%,$17.42,$2.24,$158.91,5.2,3,$52.97
"14 October, 2011",Mountain Bikes,Common Keywords,8070,57,0.71%,$9.36,$1.32,$75.52,3.5,14,$5.39
"14 October, 2011",Mountain Bikes,Athletic Bikes,7733,53,0.69%,$14.1,$2.06,$109.01,1.2,4,$27.25
"14 October, 2011",Mountain Bikes,Adult Bikes,6011,93,1.55%,$35.4,$2.29,$212.81,2.6,8,$26.6
"14 October, 2011",Mountain Bikes,Kids Bikes,8380,98,1.17%,$19.5,$1.67,$163.4,3,8,$20.43
"15 October, 2011",Mountain Bikes,Common Keywords,7092,58,0.82%,$8.13,$0.99,$57.68,3.5,13,$4.44
"15 October, 2011",Mountain Bikes,Athletic Bikes,7943,81,1.02%,$7.6,$0.75,$60.35,1.2,8,$7.54
"15 October, 2011",Mountain Bikes,Adult Bikes,8739,97,1.11%,$7.61,$0.69,$66.48,2.5,11,$6.04
"15 October, 2011",Mountain Bikes,Kids Bikes,9109,87,0.96%,$5.11,$0.53,$46.54,6,12,$3.88
"16 October, 2011",Mountain Bikes,Common Keywords,6752,63,0.93%,$9.03,$0.97,$60.95,3.2,7,$8.71
"16 October, 2011",Mountain Bikes,Athletic Bikes,6260,67,1.07%,$12.21,$1.14,$76.43,1.2,14,$5.46
"16 October, 2011",Mountain Bikes,Adult Bikes,7366,46,0.62%,$6.22,$1,$45.78,2.4,4,$11.45
"17 October, 2011",Mountain Bikes,Common Keywords,6975,94,1.35%,$29.71,$2.2,$207.25,3.3,3,$69.08
"17 October, 2011",Mountain Bikes,Athletic Bikes,7820,87,1.11%,$27.29,$2.45,$213.44,1.2,7,$30.49
"17 October, 2011",Mountain Bikes,Adult Bikes,8872,41,0.46%,$3.06,$0.66,$27.13,2.6,8,$3.39
"17 October, 2011",Mountain Bikes,Kids Bikes,9737,84,0.86%,$20.03,$2.32,$195.06,1,6,$32.51
"18 October, 2011",Mountain Bikes,Common Keywords,8738,96,1.10%,$13.04,$1.19,$113.93,3.8,11,$10.36
"18 October, 2011",Mountain Bikes,Athletic Bikes,6652,77,1.16%,$18.39,$1.59,$122.3,1.3,5,$24.46
"18 October, 2011",Mountain Bikes,Adult Bikes,7971,47,0.59%,$10.79,$1.83,$85.98,2.6,13,$6.61
"18 October, 2011",Mountain Bikes,Kids Bikes,6049,31,0.51%,$5.95,$1.16,$35.98,3.9,9,$4
"19 October, 2011",Mountain Bikes,Common Keywords,6742,41,0.61%,$14.55,$2.39,$98.11,3.5,12,$8.18
"19 October, 2011",Mountain Bikes,Athletic Bikes,9272,35,0.38%,$4.5,$1.19,$41.76,1.5,10,$4.18
"19 October, 2011",Mountain Bikes,Adult Bikes,6575,87,1.32%,$18.85,$1.42,$123.95,2.3,9,$13.77
"19 October, 2011",Mountain Bikes,Kids Bikes,8915,47,0.53%,$11.7,$2.22,$104.32,3,10,$10.43
"20 October, 2011",Mountain Bikes,Common Keywords,6004,56,0.93%,$18.3,$1.96,$109.89,3.6,3,$36.63
"20 October, 2011",Mountain Bikes,Athletic Bikes,9819,94,0.96%,$14.12,$1.47,$138.65,1.3,15,$9.24
"20 October, 2011",Mountain Bikes,Adult Bikes,9788,75,0.77%,$12.15,$1.59,$118.9,2.4,4,$29.72
"20 October, 2011",Mountain Bikes,Kids Bikes,8252,92,1.11%,$20.06,$1.8,$165.51,3.8,12,$13.79
"21 October, 2011",Mountain Bikes,Common Keywords,6724,40,0.59%,$14.45,$2.43,$97.17,3.7,14,$6.94
"21 October, 2011",Mountain Bikes,Athletic Bikes,9999,97,0.97%,$14.8,$1.53,$148.01,1.4,3,$49.34
"21 October, 2011",Mountain Bikes,Adult Bikes,7704,33,0.43%,$7.3,$1.7,$56.24,2.2,13,$4.33
"21 October, 2011",Mountain Bikes,Kids Bikes,7445,30,0.40%,$3.91,$0.97,$29.09,3.3,5,$5.82
"22 October, 2011",Mountain Bikes,Common Keywords,9964,54,0.54%,$5.08,$0.94,$50.61,3.6,9,$5.62
"22 October, 2011",Mountain Bikes,Athletic Bikes,9790,80,0.82%,$19.37,$2.37,$189.65,1.4,5,$37.93
"22 October, 2011",Mountain Bikes,Adult Bikes,9045,61,0.67%,$3.5,$0.52,$31.63,2.2,7,$4.52
"22 October, 2011",Mountain Bikes,Kids Bikes,7804,68,0.87%,$6.45,$0.74,$50.37,2.4,13,$3.87
"23 October, 2011",Mountain Bikes,Common Keywords,8521,74,0.87%,$16.51,$1.9,$140.71,3.3,14,$10.05
"23 October, 2011",Mountain Bikes,Athletic Bikes,8528,71,0.83%,$18.55,$2.23,$158.23,1.1,4,$39.56
"23 October, 2011",Mountain Bikes,Adult Bikes,6452,90,1.39%,$8.13,$0.58,$52.47,1.8,7,$7.5
"23 October, 2011",Mountain Bikes,Kids Bikes,6044,43,0.71%,$6.75,$0.95,$40.8,1.2,10,$4.08
"24 October, 2011",Mountain Bikes,Common Keywords,7506,94,1.25%,$19.56,$1.56,$146.82,2.9,12,$12.24
"24 October, 2011",Mountain Bikes,Athletic Bikes,9291,39,0.42%,$10.47,$2.5,$97.31,1.1,11,$8.85
"24 October, 2011",Mountain Bikes,Adult Bikes,7443,73,0.98%,$10.86,$1.11,$80.8,1.9,13,$6.22
"24 October, 2011",Mountain Bikes,Kids Bikes,8990,35,0.39%,$2.97,$0.76,$26.73,2,7,$3.82
"25 October, 2011",Mountain Bikes,Common Keywords,7347,50,0.68%,$3.86,$0.57,$28.36,3.7,9,$3.15
"25 October, 2011",Mountain Bikes,Athletic Bikes,9022,68,0.75%,$14.51,$1.92,$130.87,1.1,5,$26.17
"25 October, 2011",Mountain Bikes,Adult Bikes,9759,52,0.53%,$13.05,$2.45,$127.35,2.4,15,$8.49
"25 October, 2011",Mountain Bikes,Kids Bikes,7290,35,0.48%,$4.08,$0.85,$29.75,3.3,5,$5.95
"26 October, 2011",Mountain Bikes,Common Keywords,7724,51,0.66%,$9.95,$1.51,$76.83,4,15,$5.12
"26 October, 2011",Mountain Bikes,Athletic Bikes,7768,55,0.71%,$7.88,$1.11,$61.19,1.3,4,$15.3
"26 October, 2011",Mountain Bikes,Adult Bikes,6426,68,1.06%,$20.28,$1.92,$130.33,2.5,7,$18.62
"26 October, 2011",Mountain Bikes,Kids Bikes,6947,55,0.79%,$18.18,$2.3,$126.27,2.5,4,$31.57
"27 October, 2011",Mountain Bikes,Common Keywords,6647,37,0.56%,$7.17,$1.29,$47.64,4,3,$15.88
