"","date","births","wday","year","month","day","day_of_year","day_of_week"
"38",1969-02-07,10102,"Fri",1969,2,7,38,5
"39",1969-02-08,9262,"Sat",1969,2,8,39,6
"40",1969-02-09,8694,"Sun",1969,2,9,40,7
"41",1969-02-10,9954,"Mon",1969,2,10,41,1
"42",1969-02-11,9856,"Tues",1969,2,11,42,2
"43",1969-02-12,10008,"Wed",1969,2,12,43,3
"44",1969-02-13,9606,"Thurs",1969,2,13,44,4
"45",1969-02-14,10354,"Fri",1969,2,14,45,5
"46",1969-02-15,9310,"Sat",1969,2,15,46,6
"47",1969-02-16,8534,"Sun",1969,2,16,47,7
"48",1969-02-17,9822,"Mon",1969,2,17,48,1
"49",1969-02-18,10176,"Tues",1969,2,18,49,2
"50",1969-02-19,9816,"Wed",1969,2,19,50,3
"51",1969-02-20,9982,"Thurs",1969,2,20,51,4
"52",1969-02-21,9916,"Fri",1969,2,21,52,5
"53",1969-02-22,9152,"Sat",1969,2,22,53,6
"54",1969-02-23,8704,"Sun",1969,2,23,54,7
"55",1969-02-24,9966,"Mon",1969,2,24,55,1
"56",1969-02-25,10566,"Tues",1969,2,25,56,2
"57",1969-02-26,10048,"Wed",1969,2,26,57,3
"58",1969-02-27,9618,"Thurs",1969,2,27,58,4
"59",1969-02-28,9756,"Fri",1969,2,28,59,5
"60",1969-03-01,9186,"Sat",1969,3,1,61,6
"61",1969-03-02,8580,"Sun",1969,3,2,62,7
"62",1969-03-03,10068,"Mon",1969,3,3,63,1
"63",1969-03-04,10264,"Tues",1969,3,4,64,2
"64",1969-03-05,10046,"Wed",1969,3,5,65,3
"65",1969-03-06,9704,"Thurs",1969,3,6,66,4
"66",1969-03-07,9948,"Fri",1969,3,7,67,5
"67",1969-03-08,9334,"Sat",1969,3,8,68,6
"68",1969-03-09,8394,"Sun",1969,3,9,69,7
"69",1969-03-10,9892,"Mon",1969,3,10,70,1
"70",1969-03-11,10188,"Tues",1969,3,11,71,2
"71",1969-03-12,9776,"Wed",1969,3,12,72,3
"72",1969-03-13,9640,"Thurs",1969,3,13,73,4
"73",1969-03-14,10034,"Fri",1969,3,14,74,5
"74",1969-03-15,8838,"Sat",1969,3,15,75,6
"75",1969-03-16,8336,"Sun",1969,3,16,76,7
"76",1969-03-17,10128,"Mon",1969,3,17,77,1
"77",1969-03-18,10136,"Tues",1969,3,18,78,2
"78",1969-03-19,10064,"Wed",1969,3,19,79,3
"79",1969-03-20,9812,"Thurs",1969,3,20,80,4
"80",1969-03-21,9902,"Fri",1969,3,21,81,5
"81",1969-03-22,8962,"Sat",1969,3,22,82,6
"82",1969-03-23,8602,"Sun",1969,3,23,83,7
"83",1969-03-24,9802,"Mon",1969,3,24,84,1
"84",1969-03-25,10272,"Tues",1969,3,25,85,2
"85",1969-03-26,9818,"Wed",1969,3,26,86,3
"86",1969-03-27,9698,"Thurs",1969,3,27,87,4
"87",1969-03-28,10326,"Fri",1969,3,28,88,5
"88",1969-03-29,8908,"Sat",1969,3,29,89,6
"89",1969-03-30,8186,"Sun",1969,3,30,90,7
"90",1969-03-31,9592,"Mon",1969,3,31,91,1
"91",1969-04-01,9960,"Tues",1969,4,1,92,2
"92",1969-04-02,9978,"Wed",1969,4,2,93,3
"93",1969-04-03,9530,"Thurs",1969,4,3,94,4
"94",1969-04-04,9572,"Fri",1969,4,4,95,5
"95",1969-04-05,8748,"Sat",1969,4,5,96,6
"96",1969-04-06,8008,"Sun",1969,4,6,97,7
"97",1969-04-07,9374,"Mon",1969,4,7,98,1
"98",1969-04-08,10176,"Tues",1969,4,8,99,2
"99",1969-04-09,9852,"Wed",1969,4,9,100,3
"100",1969-04-10,9708,"Thurs",1969,4,10,101,4
"101",1969-04-11,9920,"Fri",1969,4,11,102,5
"102",1969-04-12,8940,"Sat",1969,4,12,103,6
"103",1969-04-13,8134,"Sun",1969,4,13,104,7
"104",1969-04-14,9566,"Mon",1969,4,14,105,1
"105",1969-04-15,10428,"Tues",1969,4,15,106,2
"106",1969-04-16,9840,"Wed",1969,4,16,107,3
"107",1969-04-17,9876,"Thurs",1969,4,17,108,4
"108",1969-04-18,9872,"Fri",1969,4,18,109,5
"109",1969-04-19,8994,"Sat",1969,4,19,110,6
"110",1969-04-20,7928,"Sun",1969,4,20,111,7
"111",1969-04-21,9610,"Mon",1969,4,21,112,1
"112",1969-04-22,10226,"Tues",1969,4,22,113,2
"113",1969-04-23,9868,"Wed",1969,4,23,114,3
"114",1969-04-24,9472,"Thurs",1969,4,24,115,4
"115",1969-04-25,9646,"Fri",1969,4,25,116,5
"116",1969-04-26,8922,"Sat",1969,4,26,117,6
"117",1969-04-27,7966,"Sun",1969,4,27,118,7
"118",1969-04-28,9518,"Mon",1969,4,28,119,1
"119",1969-04-29,9700,"Tues",1969,4,29,120,2
"120",1969-04-30,9138,"Wed",1969,4,30,121,3
"121",1969-05-01,9206,"Thurs",1969,5,1,122,4
"122",1969-05-02,9736,"Fri",1969,5,2,123,5
"123",1969-05-03,8768,"Sat",1969,5,3,124,6
"124",1969-05-04,8094,"Sun",1969,5,4,125,7
"125",1969-05-05,9930,"Mon",1969,5,5,126,1
"126",1969-05-06,9964,"Tues",1969,5,6,127,2
"127",1969-05-07,9626,"Wed",1969,5,7,128,3
"128",1969-05-08,9484,"Thurs",1969,5,8,129,4
"129",1969-05-09,9362,"Fri",1969,5,9,130,5
"130",1969-05-10,8516,"Sat",1969,5,10,131,6
"131",1969-05-11,8122,"Sun",1969,5,11,132,7
"132",1969-05-12,9306,"Mon",1969,5,12,133,1
"133",1969-05-13,9862,"Tues",1969,5,13,134,2
"134",1969-05-14,9184,"Wed",1969,5,14,135,3
"135",1969-05-15,9524,"Thurs",1969,5,15,136,4
"136",1969-05-16,9824,"Fri",1969,5,16,137,5
"137",1969-05-17,8946,"Sat",1969,5,17,138,6
"138",1969-05-18,8028,"Sun",1969,5,18,139,7
"139",1969-05-19,9494,"Mon",1969,5,19,140,1
"140",1969-05-20,10388,"Tues",1969,5,20,141,2
"141",1969-05-21,9766,"Wed",1969,5,21,142,3
"142",1969-05-22,9406,"Thurs",1969,5,22,143,4
"143",1969-05-23,9584,"Fri",1969,5,23,144,5
"144",1969-05-24,8558,"Sat",1969,5,24,145,6
"145",1969-05-25,8226,"Sun",1969,5,25,146,7
"146",1969-05-26,9840,"Mon",1969,5,26,147,1
"147",1969-05-27,10352,"Tues",1969,5,27,148,2
"148",1969-05-28,9938,"Wed",1969,5,28,149,3
"149",1969-05-29,10190,"Thurs",1969,5,29,150,4
"150",1969-05-30,9154,"Fri",1969,5,30,151,5
"151",1969-05-31,8640,"Sat",1969,5,31,152,6
"152",1969-06-01,8426,"Sun",1969,6,1,153,7
"153",1969-06-02,9862,"Mon",1969,6,2,154,1
"154",1969-06-03,10158,"Tues",1969,6,3,155,2
"155",1969-06-04,9838,"Wed",1969,6,4,156,3
"156",1969-06-05,9588,"Thurs",1969,6,5,157,4
"157",1969-06-06,10006,"Fri",1969,6,6,158,5
"158",1969-06-07,8814,"Sat",1969,6,7,159,6
"159",1969-06-08,8226,"Sun",1969,6,8,160,7
"160",1969-06-09,9738,"Mon",1969,6,9,161,1
"161",1969-06-10,10320,"Tues",1969,6,10,162,2
"162",1969-06-11,9950,"Wed",1969,6,11,163,3
"163",1969-06-12,10220,"Thurs",1969,6,12,164,4
"164",1969-06-13,9852,"Fri",1969,6,13,165,5
"165",1969-06-14,8920,"Sat",1969,6,14,166,6
"166",1969-06-15,8402,"Sun",1969,6,15,167,7
"167",1969-06-16,9744,"Mon",1969,6,16,168,1
"168",1969-06-17,10294,"Tues",1969,6,17,169,2
"169",1969-06-18,10220,"Wed",1969,6,18,170,3
"170",1969-06-19,9756,"Thurs",1969,6,19,171,4
"171",1969-06-20,10424,"Fri",1969,6,20,172,5
"172",1969-06-21,9034,"Sat",1969,6,21,173,6
"173",1969-06-22,8612,"Sun",1969,6,22,174,7
"174",1969-06-23,9880,"Mon",1969,6,23,175,1
"175",1969-06-24,10624,"Tues",1969,6,24,176,2
"176",1969-06-25,10466,"Wed",1969,6,25,177,3
"177",1969-06-26,10344,"Thurs",1969,6,26,178,4
"178",1969-06-27,10776,"Fri",1969,6,27,179,5
"179",1969-06-28,9566,"Sat",1969,6,28,180,6
"180",1969-06-29,8800,"Sun",1969,6,29,181,7
"181",1969-06-30,10588,"Mon",1969,6,30,182,1
"182",1969-07-01,11146,"Tues",1969,7,1,183,2
"183",1969-07-02,10758,"Wed",1969,7,2,184,3
"184",1969-07-03,10562,"Thurs",1969,7,3,185,4
"185",1969-07-04,9168,"Fri",1969,7,4,186,5
"186",1969-07-05,9248,"Sat",1969,7,5,187,6
"187",1969-07-06,8860,"Sun",1969,7,6,188,7
"188",1969-07-07,10634,"Mon",1969,7,7,189,1
"189",1969-07-08,10842,"Tues",1969,7,8,190,2
"190",1969-07-09,10576,"Wed",1969,7,9,191,3
"191",1969-07-10,10562,"Thurs",1969,7,10,192,4
"192",1969-07-11,10686,"Fri",1969,7,11,193,5
"193",1969-07-12,9472,"Sat",1969,7,12,194,6
"194",1969-07-13,8978,"Sun",1969,7,13,195,7
"195",1969-07-14,10242,"Mon",1969,7,14,196,1
"196",1969-07-15,11296,"Tues",1969,7,15,197,2
"197",1969-07-16,10698,"Wed",1969,7,16,198,3
"198",1969-07-17,10668,"Thurs",1969,7,17,199,4
"199",1969-07-18,10632,"Fri",1969,7,18,200,5
"200",1969-07-19,9674,"Sat",1969,7,19,201,6
"201",1969-07-20,8940,"Sun",1969,7,20,202,7
"202",1969-07-21,10196,"Mon",1969,7,21,203,1
"203",1969-07-22,11040,"Tues",1969,7,22,204,2
"204",1969-07-23,10468,"Wed",1969,7,23,205,3
"205",1969-07-24,10430,"Thurs",1969,7,24,206,4
"206",1969-07-25,10688,"Fri",1969,7,25,207,5
"207",1969-07-26,9786,"Sat",1969,7,26,208,6
"208",1969-07-27,9408,"Sun",1969,7,27,209,7
"209",1969-07-28,10548,"Mon",1969,7,28,210,1
"210",1969-07-29,11102,"Tues",1969,7,29,211,2
"211",1969-07-30,10634,"Wed",1969,7,30,212,3
"212",1969-07-31,10346,"Thurs",1969,7,31,213,4
"213",1969-08-01,10730,"Fri",1969,8,1,214,5
"214",1969-08-02,9982,"Sat",1969,8,2,215,6
"215",1969-08-03,9082,"Sun",1969,8,3,216,7
"216",1969-08-04,10450,"Mon",1969,8,4,217,1
"217",1969-08-05,10944,"Tues",1969,8,5,218,2
"218",1969-08-06,10852,"Wed",1969,8,6,219,3
"219",1969-08-07,10382,"Thurs",1969,8,7,220,4
"220",1969-08-08,11302,"Fri",1969,8,8,221,5
"221",1969-08-09,10092,"Sat",1969,8,9,222,6
"222",1969-08-10,9106,"Sun",1969,8,10,223,7
"223",1969-08-11,10706,"Mon",1969,8,11,224,1
"224",1969-08-12,11138,"Tues",1969,8,12,225,2
"225",1969-08-13,10802,"Wed",1969,8,13,226,3
"226",1969-08-14,10726,"Thurs",1969,8,14,227,4
"227",1969-08-15,10910,"Fri",1969,8,15,228,5
"228",1969-08-16,9772,"Sat",1969,8,16,229,6
"229",1969-08-17,9124,"Sun",1969,8,17,230,7
"230",1969-08-18,10650,"Mon",1969,8,18,231,1
"231",1969-08-19,11410,"Tues",1969,8,19,232,2
"232",1969-08-20,10918,"Wed",1969,8,20,233,3
"233",1969-08-21,10184,"Thurs",1969,8,21,234,4
"234",1969-08-22,10586,"Fri",1969,8,22,235,5
"235",1969-08-23,9660,"Sat",1969,8,23,236,6
"236",1969-08-24,9084,"Sun",1969,8,24,237,7
"237",1969-08-25,10586,"Mon",1969,8,25,238,1
"238",1969-08-26,11082,"Tues",1969,8,26,239,2
"239",1969-08-27,10638,"Wed",1969,8,27,240,3
"240",1969-08-28,10616,"Thurs",1969,8,28,241,4
"241",1969-08-29,10714,"Fri",1969,8,29,242,5
"242",1969-08-30,9708,"Sat",1969,8,30,243,6
"243",1969-08-31,8986,"Sun",1969,8,31,244,7
"244",1969-09-01,9012,"Mon",1969,9,1,245,1
"245",1969-09-02,10686,"Tues",1969,9,2,246,2
"246",1969-09-03,11044,"Wed",1969,9,3,247,3
"247",1969-09-04,10506,"Thurs",1969,9,4,248,4
"248",1969-09-05,10610,"Fri",1969,9,5,249,5
"249",1969-09-06,9710,"Sat",1969,9,6,250,6
"250",1969-09-07,9196,"Sun",1969,9,7,251,7
"251",1969-09-08,10508,"Mon",1969,9,8,252,1
"252",1969-09-09,10598,"Tues",1969,9,9,253,2
"253",1969-09-10,10450,"Wed",1969,9,10,254,3
"254",1969-09-11,10408,"Thurs",1969,9,11,255,4
"255",1969-09-12,10752,"Fri",1969,9,12,256,5
"256",1969-09-13,9534,"Sat",1969,9,13,257,6
"257",1969-09-14,9204,"Sun",1969,9,14,258,7
"258",1969-09-15,10728,"Mon",1969,9,15,259,1
"259",1969-09-16,11142,"Tues",1969,9,16,260,2
"260",1969-09-17,10864,"Wed",1969,9,17,261,3
"261",1969-09-18,10876,"Thurs",1969,9,18,262,4
"262",1969-09-19,10832,"Fri",1969,9,19,263,5
"263",1969-09-20,10040,"Sat",1969,9,20,264,6
"264",1969-09-21,9368,"Sun",1969,9,21,265,7
"265",1969-09-22,10970,"Mon",1969,9,22,266,1
"266",1969-09-23,11300,"Tues",1969,9,23,267,2
"267",1969-09-24,10898,"Wed",1969,9,24,268,3
"268",1969-09-25,10840,"Thurs",1969,9,25,269,4
"269",1969-09-26,11154,"Fri",1969,9,26,270,5
"270",1969-09-27,10170,"Sat",1969,9,27,271,6
"271",1969-09-28,9198,"Sun",1969,9,28,272,7
"272",1969-09-29,10708,"Mon",1969,9,29,273,1
"273",1969-09-30,11138,"Tues",1969,9,30,274,2
"274",1969-10-01,10910,"Wed",1969,10,1,275,3
"275",1969-10-02,10656,"Thurs",1969,10,2,276,4
"276",1969-10-03,10922,"Fri",1969,10,3,277,5
"277",1969-10-04,9710,"Sat",1969,10,4,278,6
"278",1969-10-05,8972,"Sun",1969,10,5,279,7
"279",1969-10-06,10318,"Mon",1969,10,6,280,1
"280",1969-10-07,10654,"Tues",1969,10,7,281,2
"281",1969-10-08,10510,"Wed",1969,10,8,282,3
"282",1969-10-09,10710,"Thurs",1969,10,9,283,4
"283",1969-10-10,10748,"Fri",1969,10,10,284,5
"284",1969-10-11,9566,"Sat",1969,10,11,285,6
"285",1969-10-12,9014,"Sun",1969,10,12,286,7
"286",1969-10-13,9996,"Mon",1969,10,13,287,1
"287",1969-10-14,10618,"Tues",1969,10,14,288,2
"288",1969-10-15,10120,"Wed",1969,10,15,289,3
"289",1969-10-16,9918,"Thurs",1969,10,16,290,4
"290",1969-10-17,10338,"Fri",1969,10,17,291,5
"291",1969-10-18,9172,"Sat",1969,10,18,292,6
"292",1969-10-19,8586,"Sun",1969,10,19,293,7
"293",1969-10-20,10148,"Mon",1969,10,20,294,1
"294",1969-10-21,10674,"Tues",1969,10,21,295,2
"295",1969-10-22,10300,"Wed",1969,10,22,296,3
"296",1969-10-23,9814,"Thurs",1969,10,23,297,4
"297",1969-10-24,10010,"Fri",1969,10,24,298,5
"298",1969-10-25,9258,"Sat",1969,10,25,299,6
"299",1969-10-26,8864,"Sun",1969,10,26,300,7
"300",1969-10-27,10372,"Mon",1969,10,27,301,1
"301",1969-10-28,10640,"Tues",1969,10,28,302,2
"302",1969-10-29,10104,"Wed",1969,10,29,303,3
"303",1969-10-30,10110,"Thurs",1969,10,30,304,4
"304",1969-10-31,10144,"Fri",1969,10,31,305,5
"305",1969-11-01,9342,"Sat",1969,11,1,306,6
"306",1969-11-02,8904,"Sun",1969,11,2,307,7
"307",1969-11-03,10338,"Mon",1969,11,3,308,1
"308",1969-11-04,10772,"Tues",1969,11,4,309,2
"309",1969-11-05,10020,"Wed",1969,11,5,310,3
"310",1969-11-06,10240,"Thurs",1969,11,6,311,4
"311",1969-11-07,10660,"Fri",1969,11,7,312,5
"312",1969-11-08,9678,"Sat",1969,11,8,313,6
"313",1969-11-09,9022,"Sun",1969,11,9,314,7
"314",1969-11-10,10342,"Mon",1969,11,10,315,1
"315",1969-11-11,10878,"Tues",1969,11,11,316,2
"316",1969-11-12,10324,"Wed",1969,11,12,317,3
"317",1969-11-13,10100,"Thurs",1969,11,13,318,4
"318",1969-11-14,10396,"Fri",1969,11,14,319,5
"319",1969-11-15,9298,"Sat",1969,11,15,320,6
"320",1969-11-16,8660,"Sun",1969,11,16,321,7
"321",1969-11-17,10286,"Mon",1969,11,17,322,1
"322",1969-11-18,10698,"Tues",1969,11,18,323,2
"323",1969-11-19,10260,"Wed",1969,11,19,324,3
"324",1969-11-20,10258,"Thurs",1969,11,20,325,4
"325",1969-11-21,10168,"Fri",1969,11,21,326,5
"326",1969-11-22,9438,"Sat",1969,11,22,327,6
"327",1969-11-23,8866,"Sun",1969,11,23,328,7
"328",1969-11-24,10462,"Mon",1969,11,24,329,1
"329",1969-11-25,10864,"Tues",1969,11,25,330,2
"330",1969-11-26,10074,"Wed",1969,11,26,331,3
"331",1969-11-27,8248,"Thurs",1969,11,27,332,4
"332",1969-11-28,9948,"Fri",1969,11,28,333,5
"333",1969-11-29,9332,"Sat",1969,11,29,334,6
"334",1969-11-30,8966,"Sun",1969,11,30,335,7
"335",1969-12-01,10648,"Mon",1969,12,1,336,1
"336",1969-12-02,10736,"Tues",1969,12,2,337,2
"337",1969-12-03,10300,"Wed",1969,12,3,338,3
"338",1969-12-04,10254,"Thurs",1969,12,4,339,4
"339",1969-12-05,10428,"Fri",1969,12,5,340,5
"340",1969-12-06,9420,"Sat",1969,12,6,341,6
"341",1969-12-07,8740,"Sun",1969,12,7,342,7
"342",1969-12-08,10646,"Mon",1969,12,8,343,1
"343",1969-12-09,10730,"Tues",1969,12,9,344,2
"344",1969-12-10,10348,"Wed",1969,12,10,345,3
"345",1969-12-11,10300,"Thurs",1969,12,11,346,4
"346",1969-12-12,10758,"Fri",1969,12,12,347,5
"347",1969-12-13,9602,"Sat",1969,12,13,348,6
"348",1969-12-14,8762,"Sun",1969,12,14,349,7
"349",1969-12-15,10898,"Mon",1969,12,15,350,1
"350",1969-12-16,11022,"Tues",1969,12,16,351,2
"351",1969-12-17,10646,"Wed",1969,12,17,352,3
"352",1969-12-18,10426,"Thurs",1969,12,18,353,4
"353",1969-12-19,10912,"Fri",1969,12,19,354,5
"354",1969-12-20,9822,"Sat",1969,12,20,355,6
"355",1969-12-21,8864,"Sun",1969,12,21,356,7
"356",1969-12-22,10492,"Mon",1969,12,22,357,1
"357",1969-12-23,9856,"Tues",1969,12,23,358,2
"358",1969-12-24,8978,"Wed",1969,12,24,359,3
"359",1969-12-25,8284,"Thurs",1969,12,25,360,4
"360",1969-12-26,9910,"Fri",1969,12,26,361,5
"361",1969-12-27,9304,"Sat",1969,12,27,362,6
"362",1969-12-28,9004,"Sun",1969,12,28,363,7
"363",1969-12-29,10980,"Mon",1969,12,29,364,1
"364",1969-12-30,12232,"Tues",1969,12,30,365,2
"365",1969-12-31,11122,"Wed",1969,12,31,366,3
"366",1970-01-01,8372,"Thurs",1970,1,1,1,4
"367",1970-01-02,9234,"Fri",1970,1,2,2,5
"368",1970-01-03,9162,"Sat",1970,1,3,3,6
"369",1970-01-04,8620,"Sun",1970,1,4,4,7
"370",1970-01-05,9852,"Mon",1970,1,5,5,1
"371",1970-01-06,10202,"Tues",1970,1,6,6,2
"372",1970-01-07,10020,"Wed",1970,1,7,7,3
"373",1970-01-08,9756,"Thurs",1970,1,8,8,4
"374",1970-01-09,9844,"Fri",1970,1,9,9,5
"375",1970-01-10,9270,"Sat",1970,1,10,10,6
"376",1970-01-11,9158,"Sun",1970,1,11,11,7
"377",1970-01-12,10474,"Mon",1970,1,12,12,1
"378",1970-01-13,10580,"Tues",1970,1,13,13,2
"379",1970-01-14,10244,"Wed",1970,1,14,14,3
"380",1970-01-15,9946,"Thurs",1970,1,15,15,4
"381",1970-01-16,10276,"Fri",1970,1,16,16,5
"382",1970-01-17,9598,"Sat",1970,1,17,17,6
"383",1970-01-18,8948,"Sun",1970,1,18,18,7
"384",1970-01-19,10124,"Mon",1970,1,19,19,1
"385",1970-01-20,10524,"Tues",1970,1,20,20,2
"386",1970-01-21,10096,"Wed",1970,1,21,21,3
"387",1970-01-22,9686,"Thurs",1970,1,22,22,4
"388",1970-01-23,10202,"Fri",1970,1,23,23,5
"389",1970-01-24,9470,"Sat",1970,1,24,24,6
"390",1970-01-25,8792,"Sun",1970,1,25,25,7
"391",1970-01-26,10160,"Mon",1970,1,26,26,1
"392",1970-01-27,10602,"Tues",1970,1,27,27,2
"393",1970-01-28,10188,"Wed",1970,1,28,28,3
"394",1970-01-29,9816,"Thurs",1970,1,29,29,4
"395",1970-01-30,9912,"Fri",1970,1,30,30,5
"396",1970-01-31,9012,"Sat",1970,1,31,31,6
"397",1970-02-01,9042,"Sun",1970,2,1,32,7
"398",1970-02-02,10542,"Mon",1970,2,2,33,1
"399",1970-02-03,10712,"Tues",1970,2,3,34,2
"400",1970-02-04,10086,"Wed",1970,2,4,35,3
"401",1970-02-05,9766,"Thurs",1970,2,5,36,4
"402",1970-02-06,10220,"Fri",1970,2,6,37,5
"403",1970-02-07,9562,"Sat",1970,2,7,38,6
"404",1970-02-08,9016,"Sun",1970,2,8,39,7
"405",1970-02-09,10226,"Mon",1970,2,9,40,1
"406",1970-02-10,10620,"Tues",1970,2,10,41,2
"407",1970-02-11,10288,"Wed",1970,2,11,42,3
"408",1970-02-12,10058,"Thurs",1970,2,12,43,4
"409",1970-02-13,10110,"Fri",1970,2,13,44,5
"410",1970-02-14,9558,"Sat",1970,2,14,45,6
"411",1970-02-15,9136,"Sun",1970,2,15,46,7
"412",1970-02-16,10260,"Mon",1970,2,16,47,1
"413",1970-02-17,10676,"Tues",1970,2,17,48,2
"414",1970-02-18,10472,"Wed",1970,2,18,49,3
"415",1970-02-19,10072,"Thurs",1970,2,19,50,4
"416",1970-02-20,10544,"Fri",1970,2,20,51,5
"417",1970-02-21,9314,"Sat",1970,2,21,52,6
"418",1970-02-22,8986,"Sun",1970,2,22,53,7
"419",1970-02-23,10168,"Mon",1970,2,23,54,1
"420",1970-02-24,10782,"Tues",1970,2,24,55,2
"421",1970-02-25,10574,"Wed",1970,2,25,56,3
"422",1970-02-26,10408,"Thurs",1970,2,26,57,4
"423",1970-02-27,10264,"Fri",1970,2,27,58,5
"424",1970-02-28,9720,"Sat",1970,2,28,59,6
"425",1970-03-01,8882,"Sun",1970,3,1,61,7
"426",1970-03-02,10170,"Mon",1970,3,2,62,1
"427",1970-03-03,11306,"Tues",1970,3,3,63,2
"428",1970-03-04,10600,"Wed",1970,3,4,64,3
"429",1970-03-05,10258,"Thurs",1970,3,5,65,4
"430",1970-03-06,10504,"Fri",1970,3,6,66,5
"431",1970-03-07,9460,"Sat",1970,3,7,67,6
"432",1970-03-08,8926,"Sun",1970,3,8,68,7
"433",1970-03-09,10340,"Mon",1970,3,9,69,1
"434",1970-03-10,10744,"Tues",1970,3,10,70,2
"435",1970-03-11,10410,"Wed",1970,3,11,71,3
"436",1970-03-12,10180,"Thurs",1970,3,12,72,4
"437",1970-03-13,10140,"Fri",1970,3,13,73,5
"438",1970-03-14,9450,"Sat",1970,3,14,74,6
"439",1970-03-15,8596,"Sun",1970,3,15,75,7
"440",1970-03-16,10058,"Mon",1970,3,16,76,1
"441",1970-03-17,10694,"Tues",1970,3,17,77,2
"442",1970-03-18,10278,"Wed",1970,3,18,78,3
"443",1970-03-19,10100,"Thurs",1970,3,19,79,4
"444",1970-03-20,10206,"Fri",1970,3,20,80,5
"445",1970-03-21,9390,"Sat",1970,3,21,81,6
"446",1970-03-22,8784,"Sun",1970,3,22,82,7
"447",1970-03-23,10334,"Mon",1970,3,23,83,1
"448",1970-03-24,10556,"Tues",1970,3,24,84,2
"449",1970-03-25,10148,"Wed",1970,3,25,85,3
"450",1970-03-26,9886,"Thurs",1970,3,26,86,4
"451",1970-03-27,9792,"Fri",1970,3,27,87,5
"452",1970-03-28,8764,"Sat",1970,3,28,88,6
"453",1970-03-29,8314,"Sun",1970,3,29,89,7
"454",1970-03-30,9766,"Mon",1970,3,30,90,1
"455",1970-03-31,10172,"Tues",1970,3,31,91,2
"456",1970-04-01,10002,"Wed",1970,4,1,92,3
"457",1970-04-02,10134,"Thurs",1970,4,2,93,4
"458",1970-04-03,10116,"Fri",1970,4,3,94,5
"459",1970-04-04,9234,"Sat",1970,4,4,95,6
"460",1970-04-05,8522,"Sun",1970,4,5,96,7
"461",1970-04-06,10052,"Mon",1970,4,6,97,1
"462",1970-04-07,10474,"Tues",1970,4,7,98,2
"463",1970-04-08,9950,"Wed",1970,4,8,99,3
"464",1970-04-09,9898,"Thurs",1970,4,9,100,4
"465",1970-04-10,10072,"Fri",1970,4,10,101,5
"466",1970-04-11,9040,"Sat",1970,4,11,102,6
"467",1970-04-12,8214,"Sun",1970,4,12,103,7
"468",1970-04-13,9470,"Mon",1970,4,13,104,1
"469",1970-04-14,10100,"Tues",1970,4,14,105,2
"470",1970-04-15,9824,"Wed",1970,4,15,106,3
"471",1970-04-16,9668,"Thurs",1970,4,16,107,4
"472",1970-04-17,9706,"Fri",1970,4,17,108,5
"473",1970-04-18,8786,"Sat",1970,4,18,109,6
"474",1970-04-19,8174,"Sun",1970,4,19,110,7
"475",1970-04-20,9574,"Mon",1970,4,20,111,1
"476",1970-04-21,10098,"Tues",1970,4,21,112,2
"477",1970-04-22,9714,"Wed",1970,4,22,113,3
"478",1970-04-23,9518,"Thurs",1970,4,23,114,4
