"API_WellNo","County","CoName","Hole","SideTrck","Completion","Well_Typ","Field","Wl_Status","Well_Nm","town","Prod Form","MonthProd","GasProd","WaterProd","OilProd","Year"
"31003250560002","Allegany","Hinz, Bruce R. & Kathie S.","25056","00","02","GW","New Field Wildcat","SI","Hinz R & B 1B     ","Hume","Marcellus","0","0","0","0","2015"
"31003128010000","Allegany","Richardson Petroleum Corp.","12801","00","00","OW","Beech Hill-Independence","AC","Bloss 2","Independence","Fulmer Valley","12","319","4","12","2015"
"31013053510000","Chautauqua","Curtis & Son Oil, Inc.","05351","00","00","OD","Busti","AC","Hanstrom,Rudolf 7","Busti","Glade","12","1","1","1","2015"
"31009142170000","Cattaraugus","Hemlock Oil & Gas Co., Inc.","14217","00","00","OD","Chipmunk","NR","Seneca Reservation 182","Carrollton","Chipmunk","0","0","0","0","2015"
"31013255790000","Chautauqua","Universal Resources Holdings, Incorporated","25579","00","00","GD","Lakeshore","AC","Press 4     ","Villenova","Medina","12","3089","100","0","2015"
"31009051430000","Cattaraugus","Copper Ridge Oil, Inc.","05143","00","00","OD","Five Mile","IN","Weis 11","Olean","Bradford","0","0","0","0","2015"
"31013117170000","Chautauqua","Empire Energy E&P LLC","11717","00","00","GD","Lakeshore","AC","Swanson 379","Stockton","Medina","8","98","57","0","2015"
"31013137940000","Chautauqua","Chautauqua Energy, Inc.","13794","00","00","GD","Lakeshore","IN","Nocek 1","Sheridan","Medina","0","0","0","0","2015"
"31121188330000","Wyoming","Stedman Energy, Inc.","18833","00","00","GD","Chaffee-Arcade","AC","Koch 1","Arcade","Medina","12","1917","0","0","2015"
"31003673400000","Allegany","Middaugh, Constance Y.","67340","00","00","GD","Corbin Hill","AC","Osgood 1","Amity","Richburg","12","1","0","0","2015"
"31011205000000","Cayuga","Minard Run Oil Co.","20500","00","00","GD","West Auburn","AC","Fabian 348-8","Springport","Queenston","12","1769","0","0","2015"
"31013122970000","Chautauqua","Empire Energy E&P LLC","12297","00","00","GD","Lakeshore","AC","Sharf 446","Arkwright","Medina","12","942","40","0","2015"
"31029207680000","Erie","Cotton Well Drilling Company,  Inc.","20768","00","00","GD","Concord","AC","Magavern 1","Concord","Medina","12","155","42","0","2015"
"31121044680000","Wyoming","GFS Energy, Inc.","04468","00","00","GD","Leicester","AC","Winters Kenneth and Amy 1","Perry","Medina","9","256","0","0","2015"
"31029154310000","Erie","Subsea Oil & Gas, Inc.","15431","00","00","GD","Brant-Eden","AC","Blasz 1446","Brant","Medina","12","3581","0","0","2015"
"31037029200000","Genesee","East View Farms, Inc.","02920","00","00","GD","Pavilion","AC","Smead 1","Pavilion","Medina","12","1","0","0","2015"
"31013185250000","Chautauqua","Chautauqua Energy, Inc.","18525","00","00","GD","Lakeshore","AC","Piskorz 1","Westfield","Medina","12","476","0","0","2015"
"31013180470000","Chautauqua","Empire Energy E&P LLC","18047","00","00","GD","Lakeshore","AC","Byler 1","Sherman","Medina","12","516","14","0","2015"
"31009212280000","Cattaraugus","Yorkshire-Pioneer Central School District","21228","00","00","GD","Chaffee-Arcade","AC","Pioneer Cent.Sch.Dist.1","Yorkshire","Medina","12","1","0","0","2015"
"31003192070000","Allegany","Barber, James C.","19207","00","00","GD","Rushford","AC","Barber B-1","Rushford","Medina","12","1","0","0","2015"
"31013219870000","Chautauqua","Johnson, Mark & Troy","21987","00","00","OD","Busti","AC","Curtis 8a","Busti","Glade","12","1","2","35","2015"
"31009051670000","Cattaraugus","Copper Ridge Oil, Inc.","05167","00","00","OD","Five Mile","AC","Weis 20","Olean","Bradford","3","1","1","32","2015"
"31013225040000","Chautauqua","Pefley Oil & Gas, Inc.","22504","00","00","OD","Busti","AC","Nelson, M 11g","Busti","Glade","12","25","0","0","2015"
"31013137760000","Chautauqua","Empire Energy E&P LLC","13776","00","00","GD","Lakeshore","AC","Group 574 1     ","Chautauqua","Medina","12","1708","2","0","2015"
"31013156720000","Chautauqua","GFS Energy, Inc.","15672","00","00","GD","Lakeshore","AC","Holy Family 1","Arkwright","Medina","6","104","0","0","2015"
"31013178020000","Chautauqua","Kastle Resources Enterprises, Inc.","17802","00","00","GD","Lakeshore","AC","Pagett 1","Ellington","Medina","12","1191","0","0","2015"
"31009627750000","Cattaraugus","Stevenson, Scott R Jr","62775","00","00","OD","Bradford","AC","Hamm 7","Carrollton","Bradford & Chipmunk","3","1","2","2","2015"
"31037204900000","Genesee","United States Gypsum Co.","20490","00","00","GD","Bethany","AC","Lor-Rob Dairy 9 (6605)","Bethany","Medina","1","10","1","0","2015"
"31003657130000","Allegany","Pine Oil Co.","65713","00","00","IW","Richburg","IN","Pine Oil 126","Genesee","Richburg","0","0","0","0","2015"
"31029225910000","Erie","Cantalician Center for Learning Inc.","22591","00","00","GD","Alden-Lancaster","AC","Fee 2","Cheektowaga","Medina","12","1","0","0","2015"
"31009164210000","Cattaraugus","Texas Keystone, Inc.","16421","00","00","GD","Lakeshore","AC","Sargent 1","Persia","Medina","1","94","0","0","2015"
"31009638890000","Cattaraugus","Perkins & Perkins Oil Co. Inc.","63889","00","00","OD","Four Mile","AC","Geise 5","Allegany","Bradford Third","12","0","0","8","2015"
"31013219700000","Chautauqua","Resource Energy, LLC","21970","00","00","GD","Lakeshore","AC","Lescynski 3","North Harmony","Medina","11","1034","78","0","2015"
"31003179610000","Allegany","Richardson Petroleum Corp.","17961","00","00","OD","Beech Hill-Independence","AC","1 E & M Smith","Willing","Fulmer Valley","12","0","3","32","2015"
"31013200080000","Chautauqua","Vertical Energy, Inc.","20008","00","00","OD","Busti","AC","Crandall E 3     ","Busti","Glade","12","1","1","2","2015"
"31029201950000","Erie","Stedman Energy, Inc.","20195","00","00","GD","East Aurora","AC","Koch 1","Aurora","Grimsby","3","34","0","0","2015"
"31013198130000","Chautauqua","Empire Energy E&P LLC","19813","00","00","GD","Lakeshore","AC","Bellardo 800","Gerry","Medina","12","1373","0","0","2015"
"31003552640000","Allegany","SK Enterprises","55264","00","00","OD","Fulmer Valley","IN","Costello-Barnes 3","Willing","Fulmer Valley","0","0","0","0","2015"
"31013181560000","Chautauqua","Empire Energy E&P LLC","18156","00","00","GD","Lakeshore","AC","Skellie 706","Mina","Medina","12","682","27","0","2015"
"31013109730000","Chautauqua","Empire Energy E&P LLC","10973","00","00","GD","Lakeshore","IN","Sinden E 50","Ripley","Medina","0","0","0","0","2015"
"31029224360000","Erie","Empire Energy E&P LLC","22436","00","00","GD","Brant-Eden","AC","Eye V 1","Eden","Grimsby","12","599","0","0","2015"
"31013144650000","Chautauqua","Empire Energy E&P LLC","14465","00","00","GD","Lakeshore","AC","Westfield F&G 2","Westfield","Medina","12","1277","0","0","2015"
"31003096210000","Allegany","Klein Oil & Logging","09621","00","00","OD","Beech Hill-Independence","AC","Austin-Bayard 7","Independence","Fulmer Valley","12","1","3","20","2015"
"31013125990000","Chautauqua","Empire Energy E&P LLC","12599","00","00","GD","Lakeshore","AC","Harrington 502","Chautauqua","Medina","12","3767","0","0","2015"
"31003160460000","Allegany","Case Brothers Inc.","16046","00","00","OW","Richburg","IN","Altimus B-1","Genesee","Richburg","0","0","0","0","2015"
"31009661580000","Cattaraugus","McCracken Oil & Gas, LLC","66158","00","00","OD","Bradford","IN","Wasson 41 0-6     ","Allegany","Bradford","0","0","0","0","2015"
"31013122660000","Chautauqua","Empire Energy E&P LLC","12266","00","00","GD","Lakeshore","AC","Hayes 1365","Hanover","Medina","12","1503","0","0","2015"
"31009123350000","Cattaraugus","McCracken Oil & Gas, LLC","12335","00","00","IW","Bradford","AC","Sue W-19","Carrollton","Chipmunk","12","0","12","73","2015"
"31013150050000","Chautauqua","Empire Energy E&P LLC","15005","00","00","GD","Lakeshore","AC","Nickerson,L 5","Chautauqua","Medina","3","19","0","0","2015"
"31013176990000","Chautauqua","Dannic Energy Corp.","17699","00","00","GD","Lakeshore","AC","Littlefield 1","Carroll","Medina","12","934","0","0","2015"
"31003222050000","Allegany","Otis Eastern Service, Inc.","22205","00","00","OD","Fulmer Valley","AC","Dougherty, A 1","Andover","Fulmer Valley","12","97","0","0","2015"
"31013128420000","Chautauqua","Brown, William G. III","12842","00","00","GD","Lakeshore","AC","Thorpe 1","Westfield","Medina","12","1","0","0","2015"
"31013225080000","Chautauqua","Pefley Oil & Gas, Inc.","22508","00","00","OD","Busti","AC","Nelson, M 6ga","Busti","Glade","12","15","0","26","2015"
"31121135810000","Wyoming","Lenape Resources, Inc.","13581","00","00","GD","Leicester","AC","Wallace, A 12","Covington","Medina","12","1172","0","0","2015"
"31013082700000","Chautauqua","Libra Petroleum Company","08270","00","00","OD","Busti","AC","Hanson 7","Busti","Glade","12","5","3","4","2015"
"31013124680000","Chautauqua","Waffenbauch USA Corp.","12468","00","00","GD","Lakeshore","AC","Fee 1","Westfield","Medina","12","751","0","0","2015"
"31037138530000","Genesee","United States Gypsum Co.","13853","00","00","GD","Huron Creek","AC","Golding 1","Batavia","Medina","12","1338","18","0","2015"
"31003607660000","Allegany","Emerald Oil Company","60766","00","00","OD","Richburg","AC","Pitzrick 5","Wirt","Richburg","4","5","5","5","2015"
"31013105300000","Chautauqua","Empire Energy E&P LLC","10530","00","00","GD","Lakeshore","AC","Schrader 1","Portland","Medina","12","1154","1","0","2015"
"31009192120000","Cattaraugus","Empire Energy E&P LLC","19212","00","00","GD","Lakeshore","AC","Rhoades, R 1","Conewango","Medina","12","1294","0","0","2015"
"31003679070000","Allegany","Sturdevant, Walter B.","67907","00","00","OD","Richburg","NR","J&R Oil Lot 8 34","Bolivar","Richburg","0","0","0","0","2015"
"31009256670000","Cattaraugus","Snyder Brothers, Inc.","25667","00","00","OD","Bradford","AC","James 106     ","Olean","Chipmunk, Bradford 1st,2nd,3rd","12","448","19","268","2015"
"31013186360000","Chautauqua","K. Petroleum, Inc.","18636","00","00","GD","Lakeshore","AC","Scott 1","Villenova","Medina","0","0","0","0","2015"
"31009191340000","Cattaraugus","Empire Energy E&P LLC","19134","00","00","GD","Lakeshore","AC","Shelter, M 1-B","Conewango","Medina","12","1288","0","0","2015"
"31013148390000","Chautauqua","Stedman Energy, Inc.","14839","00","00","GD","Lakeshore","AC","Parker #1A     ","Chautauqua","Medina","12","2102","0","0","2015"
"31013200960000","Chautauqua","Kastle Resources Enterprises, Inc.","20096","00","00","GD","Lakeshore","AC","Schimek 4","Cherry Creek","Medina","12","655","0","0","2015"
"31009300270000","Cattaraugus","Dallas Energy, LLC","30027","00","00","OD","Bradford","AC","Potter Lumber 2 # 7","Carrollton","Chipmunk, Bradford 2nd & 3rd","12","294","782","495","2015"
"31121212300000","Wyoming","United States Gypsum Co.","21230","00","00","GD","Danley Corners","AC","Arcese, G. 1","Bennington","Medina","12","1877","12","0","2015"
"31099195580000","Seneca","Minard Run Oil Co.","19558","00","00","GD","Fayette-Waterloo","AC","Kisner 2551","Fayette","Queenston","12","1872","0","0","2015"
"31009187730000","Cattaraugus","Markham, Charles A., Jr. & Janet E.","18773","00","00","GD","Lakeshore","AC","Markham 1  6385","Dayton","Medina","12","1","0","0","2015"
"31013247070000","Chautauqua","Universal Resources Holdings, Incorporated","24707","00","00","GD","Lakeshore","AC","Carlson 1     ","Poland","Medina","12","2310","4","0","2015"
"31029207490000","Erie","Stedman Energy, Inc.","20749","00","00","GD","North Collins","AC","Burke 1","North Collins","Medina","11","68","0","0","2015"
"31013087560000","Chautauqua","Cotton Well Drilling Company,  Inc.","08756","00","00","GD","Lakeshore","AC","Village of Forestville 1","Arkwright","Medina","7","156","0","0","2015"
"31029164520000","Erie","Pan Energy Company, Inc.","16452","00","00","GD","Lakeview","AC","Sicurella 3","Brant","Medina","4","301","0","0","2015"
"31013202860000","Chautauqua","Hemlock Oil & Gas Co., Inc.","20286","00","00","GD","Carroll","IN","Leichner 1","Carroll","Medina","0","0","0","0","2015"
"31003281590000","Allegany","Nathan Petroleum, Yahn & Yahn and Rexaco Oil Corp.","28159","00","00","OD","Beech Hill-Independence","AC","Austin 29Y     ","Independence","Fulmer Valley","12","2596","69","223","2015"
"31003697310000","Allegany","Ashe Oil Company","69731","00","00","IW","Richburg","IN","Central 077     ","Scio","Richburg","0","0","0","0","2015"
"31009256880000","Cattaraugus","McCracken Oil & Gas, LLC","25688","00","00","OD","Bradford","AC","Rosa O'Brian RO-7     ","Carrollton","Chipmunk, Bradford 2nd & 3rd","12","96","7","151","2015"
"31003200540000","Allegany","SK Enterprises","20054","00","00","OD","Andover","AC","Skyline (Childs) 8","Andover","Penny & Fulmer Valley","6","0","0","27","2015"
"31003673710000","Allegany","Karen D. Mott & Mark D. Covert","67371","00","00","OD","Richburg","IN","Cobble 06","Wirt","Richburg","6","1","0","0","2015"
"31013200700000","Chautauqua","Empire Energy E&P LLC","20070","00","00","GD","Lakeshore","AC","Ball, R. 2 7324","Ellicott","Medina","12","238","0","0","2015"
"31009170910000","Cattaraugus","Empire Energy E&P LLC","17091","00","00","GD","Lakeshore","AC","Mast, A 1","Conewango","Medina","12","1093","0","0","2015"
"31013119520000","Chautauqua","20 Bliss Street, Inc.","11952","00","00","GD","Lakeshore","AC","14 McAllister","Pomfret","Medina","12","453","13","0","2015"
"31099261400000","Seneca","Minard Run Oil Co.","26140","00","00","GD","Fayette-Waterloo","AC","Poormon 1 (626923)     ","Fayette","Queenston","12","4040","0","0","2015"
"31003222550000","Allegany","Richardson Petroleum Corp.","22255","00","00","OD","Beech Hill-Independence","AC","Austin-Bayard 51","Independence","Fulmer Valley","12","273","4","10","2015"
"31013120320000","Chautauqua","Curtis & Son Oil, Inc.","12032","00","00","OD","Busti","AC","Boswell 14","Busti","Glade","12","1","1","1","2015"
"31009221200000","Cattaraugus","McCracken Oil & Gas, LLC","22120","00","00","OD","Bradford","AC","Goodman w18","Carrollton","Bradford","12","59","10","141","2015"
"31013192770000","Chautauqua","Empire Energy E&P LLC","19277","00","00","GD","Lakeshore","AC","Caflisch, E 1-J","Clymer","Medina","12","3226","149","0","2015"
"31013183420000","Chautauqua","Stedman Energy, Inc.","18342","00","00","GD","Lakeshore","AC","Nelson 1","Cherry Creek","Medina","12","925","0","0","2015"
"31121138890000","Wyoming","GFS Energy, Inc.","13889","00","00","GD","Leicester","AC","Krammell 2","Perry","Medina","12","2428","0","0","2015"
"31017264040000","Chenango","Emkey Resources, LLC","26404","00","00","GE","Beaver Meadow - Herkimer pool","AC","Comisac, M. 1H     ","Plymouth","Herkimer","12","629","0","0","2015"
"31013146530000","Chautauqua","Empire Energy E&P LLC","14653","00","00","GD","Lakeshore","AC","Hewes,G 1","Chautauqua","Medina","12","2832","11","0","2015"
"31003636010000","Allegany","J and R Oil Co.","63601","00","00","OD","Scio","IN","Harris - 013a","Ward","Scio","0","0","0","0","2015"
"31013064700000","Chautauqua","Libra Petroleum Company","06470","00","00","OD","Busti","AC","Lawrence Crandall 6","Busti","Glade","12","2","1","1","2015"
"31009201980000","Cattaraugus","A. J. Lease Account","20198","00","00","GD","Chaffee-Arcade","AC","Voss 1","Yorkshire","Medina","11","1069","0","0","2015"
"31051144900000","Livingston","Everman, Henry G","14490","00","00","GW","Dansville","AC","Everman 1","West Sparta","Hamilton","6","1","0","0","2015"
"31015041800000","Chemung","Gabel, Elizabeth A.","04180","00","00","GD","Van Etten","AC","Rumsey 1","Van Etten","Oriskany","12","250","0","0","2015"
"31003636660000","Allegany","Hunt Oil Co.","63666","00","00","OD","Richburg","AC","Bellamy Farm 10","Alma","Richburg","5","0","4","9","2015"
"31009148730000","Cattaraugus","Thomas A Miller Oil Co.","14873","00","00","OW","Bradford","PA","Warters Wtrs1","Allegany","Bradford","0","0","0","0","2015"
"31013281840000","Chautauqua","Johnson, Mark & Troy","28184","00","00","OD","Busti","AC","Evinczik 14     ","Busti","Glade","12","1","2","400","2015"
"31123205390000","Yates","PPP Future Development, Inc.","20539","00","00","GE","North Penn Yan","SI","Barden 1","Benton","Medina-Queenston","0","0","0","0","2015"
"31029132270000","Erie","Stedman Energy, Inc.","13227","00","00","GD","Brant-Eden","AC","Doicese of Buffalo 2","Evans","Grimsby","8","454","0","0","2015"
"31029259460000","Erie","U S Energy Development Corp.","25946","00","00","GD","North Collins","AC","Legierski 1     ","North Collins","Medina","12","1345","85","0","2015"
"31099264940000","Seneca","Rasmussen's Energy Inc.","26494","00","00","GD","Fayette-Waterloo","AC","Rebecca 3     ","Fayette","Queenston","10","50","0","0","2015"
"31009604540000","Cattaraugus","Holly Oil Production, LLC","60454","00","00","OD","Chipmunk","SI","Morse 9","Carrollton","Chipmunk","0","0","0","0","2015"
"31013114070000","Chautauqua","Empire Energy E&P LLC","11407","00","00","GD","Lakeshore","AC","Thompson 243","Ripley","Medina","12","2708","3","0","2015"
"31013157580000","Chautauqua","Stedman Energy, Inc.","15758","00","00","GD","Lakeshore","AC","Richardson1","Ellery","Medina","12","1961","0","0","2015"
"31009184660000","Cattaraugus","Texas Keystone, Inc.","18466","00","00","GD","Lakeshore","AC","C Gardiner 2","Otto","Medina","3","411","0","0","2015"
"31009255770000","Cattaraugus","Copper Ridge Oil, Inc.","25577","00","00","OD","Five Mile","AC","Weis 87     ","Olean","Bradford","11","1","4","89","2015"
"31013191100000","Chautauqua","Empire Energy E&P LLC","19110","00","00","GD","Lakeshore","AC","Caflisch, E 1-I","Clymer","Medina","12","1986","62","0","2015"
"31013076270000","Chautauqua","Vertical Energy, Inc.","07627","00","00","OD","Busti","AC","Crandall 2-7","Busti","Glade","12","1","1","5","2015"
"31003627200000","Allegany","Otis Eastern Service, Inc.","62720","00","00","OD","Beech Hill-Independence","AC","John&Peter Joyce 3","Andover","Penny & Fulmer Valley","12","77","1","29","2015"
"31013114530000","Chautauqua","Empire Energy E&P LLC","11453","00","00","GD","Lakeshore","AC","Leo 1216","Pomfret","Medina","12","2271","32","0","2015"
"31013184130000","Chautauqua","Kastle Resources Enterprises, Inc.","18413","00","00","GD","Lakeshore","AC","Price 1","Ellington","Medina","12","1054","0","0","2015"
"31029145420000","Erie","Subsea Oil & Gas, Inc.","14542","00","00","GD","Lakeview","AC","Upshur 1","Evans","Medina","5","156","5","0","2015"
"31013168540000","Chautauqua","Empire Energy E&P LLC","16854","00","00","GD","Lakeshore","AC","Roush, H 1","Clymer","Medina","12","483","0","0","2015"
"31013218150000","Chautauqua","Chautauqua Energy, Inc.","21815","00","00","GD","Lakeshore","AC","Johnston, S 1","Chautauqua","Medina","12","396","0","0","2015"
"31013251810000","Chautauqua","Vertical Energy, Inc.","25181","00","00","OD","Busti","AC","C3 8     ","Busti","Glade","12","1","3","18","2015"
"31003249330000","Allegany","Klein Oil & Logging","24933","00","00","OD","Richburg","AC","Lot 53 K26     ","Alma","Richburg","12","1","4","52","2015"
"31009226630000","Cattaraugus","Texas Keystone, Inc.","22663","00","00","GD","Lakeshore","AC","Plateau Recreation 3","Persia","Medina","10","1081","0","0","2015"
"31097238310000","Schuyler","Talisman Energy USA Inc.","23831","00","00","GE","Howland Hill","PA","Webster T1     ","Orange","Marcellus","0","0","0","0","2015"
"31037196700000","Genesee","United States Gypsum Co.","19670","00","00","GD","Danley Corners","AC","Fouchie, H. 1","Darien","Medina","12","1300","7","0","2015"
"31013110310000","Chautauqua","Empire Energy E&P LLC","11031","00","00","GD","Lakeshore","AC","Skinner 246","Portland","Medina","9","834","1","0","2015"
"31009136570000","Cattaraugus","Case Brothers Inc.","13657","00","00","OD","Bradford","AC","Bucher No 04","Carrollton","Chipmunk, Bradford 2nd & 3rd","12","0","10","44","2015"
"31013143400000","Chautauqua","Cotton Well Drilling Company,  Inc.","14340","00","00","GD","Lakeshore","AC","Warnshius 3106","Westfield","Medina","12","211","0","0","2015"
"31029254720000","Erie","U S Energy Development Corp.","25472","00","00","GD","Lakeshore","AC","Catalano 1     ","Brant","Medina","8","1219","45","0","2015"
"31009240330000","Cattaraugus","SWEPI LP","24033","00","00","OD","Chipmunk","AC","Rumsey Devonian Sec 10 Lot 3-14     ","Allegany","Bradford & Chipmunk","12","418","20","117","2015"
"31009095860000","Cattaraugus","Mark T. Kellner Oil Co.","09586","00","00","OD","Bradford","AC","Shattuck 5","Olean","Bradford Second","6","1","0","30","2015"
"31013211580000","Chautauqua","Empire Energy E&P LLC","21158","00","00","GD","Lakeshore","AC","Green, G. 7244","Poland","Medina","12","4612","0","0","2015"
"31029248470000","Erie","U S Energy Development Corp.","24847","00","00","GD","North Collins","AC","Hoffman 5     ","North Collins","Medina","6","199","0","0","2015"
"31013046710000","Chautauqua","Empire Energy E&P LLC","04671","00","00","GW","Lakeshore","AC","Isley N 1173","Ellery","Medina","12","237","0","0","2015"
"31013245010000","Chautauqua","EnerVest Operating, LLC","24501","00","00","GD","Lakeshore","AC","Baron 1-492     ","Kiantone","Medina","12","3103","0","0","2015"
"31099261210000","Seneca","Minard Run Oil Co.","26121","00","00","GD","Fayette-Waterloo","AC","Martin 5 (625029)     ","Fayette","Queenston","12","6966","0","0","2015"
"31013110520000","Chautauqua","Empire Energy E&P LLC","11052","00","00","GD","Lakeshore","AC","Conti 2","Arkwright","Medina","11","571","45","0","2015"
"31013049820000","Chautauqua","Eagle Oil Field Supply, Inc. d/b/a Eagle S & T","04982","00","00","OD","Busti","AC","Piazza 1","Busti","Glade","10","0","1","4","2015"
"31009638920000","Cattaraugus","Perkins & Perkins Oil Co. Inc.","63892","00","00","OD","Four Mile","AC","Geise 7","Allegany","Bradford Third","12","0","0","21","2015"
"31099238760000","Seneca","Minard Run Oil Co.","23876","00","00","GD","Fayette-Waterloo","AC","Pagano 1     ","Fayette","Queenston","12","10166","32","0","2015"
"31009241370000","Cattaraugus","SWEPI LP","24137","00","00","OD","Chipmunk","AC","Rumsey Devonian Sec 14 Lot 1-81     ","Allegany","Bradford & Chipmunk","12","708","38","190","2015"
"31003657060000","Allegany","Pine Oil Co.","65706","00","00","IW","Richburg","IN","Pine Oil 119","Genesee","Richburg","0","0","0","0","2015"
"31013055460000","Chautauqua","Decker, James K. & Tiffany J.","05546","00","00","OD","Busti","AC","Muntz-Angle 3","Busti","Glade","12","1","1","4","2015"
"31003678210000","Allegany","Iron Dinosaur Oil","67821","00","00","OD","Browning","IN","Browning 33","Scio","Scio","0","0","0","0","2015"
"31003680090000","Allegany","Sturdevant, Walter B.","68009","00","00","OD","Richburg","NR","J&R Oil Lot 8 110","Bolivar","Richburg","0","0","0","0","2015"
"31013052290000","Chautauqua","Johnson, Mark & Troy","05229","00","00","OD","Busti","AC","Harding 3","Busti","Glade","12","1","2","25","2015"
"31029219220000","Erie","Empire Energy E&P LLC","21922","00","00","GD","Lakeview","AC","Ruhl-Weider 1","Evans","Medina","12","675","0","0","2015"
"31009221380000","Cattaraugus","Stevenson, Scott R Jr","22138","00","00","OD","Bradford","AC","Degitz 5","Carrollton","Bradford & Chipmunk","3","1","8","14","2015"
"31013280130000","Chautauqua","Vertical Energy, Inc.","28013","00","00","OD","Busti","AC","Cali 1     ","Busti","Glade","12","1","5","70","2015"
"31053239100000","Madison","Emkey Resources, LLC","23910","00","00","GE","Bradley Brook","AC","White Eagle Farms 3-381     ","Lebanon","Oneida","12","1806","0","0","2015"
"31003609320000","Allegany","Saint John Exploration & Production, Inc.","60932","00","00","IW","Richburg","IN","Trio Farm 29x","Bolivar","Richburg","0","0","0","0","2015"
