"","hightemp","lowtemp","avgtemp","spring","summer","fall","cloudcover","precip","volume","weekday"
"41",81,39,60,1,0,0,0,0,540,"1"
"42",72,53,62.5,0,1,0,7.90000009536743,0,376,"1"
"43",70,63,66.5,0,1,0,9.89999961853027,0,554,"1"
"44",69,41,55,0,0,1,6.40000009536743,0,339,"1"
"45",59,34,46.5,1,0,0,2.40000009536743,0,344,"1"
"46",60,32,46,0,0,1,1.20000004768372,0,348,"0"
"47",72,47,59.5,1,0,0,4.09999990463257,0,517,"1"
"48",70,47,58.5,1,0,0,9.89999961853027,0,328,"1"
"49",76,72,74,0,1,0,9.69999980926514,0.349999994039536,298,"1"
"50",56,38,47,1,0,0,0,0,335,"1"
"51",66,38,52,1,0,0,3.90000009536743,0,186,"1"
"52",84,69,76.5,0,1,0,8.89999961853027,0.00999999977648258,505,"1"
"53",58,51,54.5,1,0,0,10,0.150000005960464,156,"1"
"54",56,41,48.5,1,0,0,7,0,362,"1"
"55",79,47,63,1,0,0,7,0.00999999977648258,507,"0"
"56",67,39,53,1,0,0,6.80000019073486,0.0199999995529652,407,"0"
"57",75,47,61,1,0,0,6.80000019073486,0,421,"1"
"58",65,30,47.5,1,0,0,4.30000019073486,0,393,"1"
"59",70,41,55.5,1,0,0,5.09999990463257,0,422,"1"
"60",64,41,52.5,1,0,0,3.40000009536743,0,349,"1"
"61",51,39,45,1,0,0,10,0.159999996423721,150,"1"
"62",77,43,60,1,0,0,0.400000005960464,0,429,"1"
"63",60,34,47,1,0,0,10,0,293,"1"
"64",74,55,64.5,0,1,0,4.59999990463257,0,461,"1"
"65",84,70,77,0,1,0,9.89999961853027,1.49000000953674,388,"1"
"66",61,42,51.5,1,0,0,6.40000009536743,0.00999999977648258,322,"1"
"67",49,43,46,1,0,0,9.69999980926514,0.119999997317791,129,"0"
"68",71,42,56.5,0,0,1,4,0,415,"0"
"69",70,62,66,1,0,0,3,0,460,"1"
"70",83,60,71.5,0,1,0,8.19999980926514,0.140000000596046,405,"1"
"71",90,66,78,0,1,0,6.59999990463257,0,453,"1"
"72",92,66,79,0,1,0,7.90000009536743,0,395,"1"
"73",88,54,71,0,1,0,6.19999980926514,0,531,"1"
"74",62,39,50.5,1,0,0,0.800000011920929,0,236,"1"
"75",86,50,68,1,0,0,6.19999980926514,0,484,"1"
"76",67,43,55,1,0,0,0.400000005960464,0,445,"1"
"77",59,35,47,0,0,1,1.70000004768372,0,252,"1"
"78",89,69,79,0,1,0,9,0.360000014305115,286,"0"
"79",63,46,54.5,1,0,0,6.90000009536743,0.170000001788139,400,"0"
"80",59,46,52.5,0,0,1,10,0,261,"0"
"81",74,55,64.5,1,0,0,7.80000019073486,0,339,"0"
"82",80,33,56.5,1,0,0,0.699999988079071,0,617,"0"
"83",55,45,50,1,0,0,9.60000038146973,0.200000002980232,316,"0"
"84",62,28,45,0,0,1,5.69999980926514,0.0199999995529652,367,"0"
"85",74,33,53.5,1,0,0,2.5,0,635,"0"
"86",95,66,80.5,0,1,0,4.09999990463257,0,449,"0"
"87",65,20,42.5,1,0,0,9.39999961853027,0.219999998807907,314,"0"
"88",55,43,49,1,0,0,9,0,264,"0"
"89",89,57,73,0,1,0,1.89999997615814,0,356,"0"
"90",80,53,66.5,0,1,0,3.79999995231628,0,564,"0"
