"","date","births","dayofyear","wday"
"248",1978-09-05,10023,248,"Tues"
"249",1978-09-06,10703,249,"Wed"
"250",1978-09-07,10292,250,"Thurs"
"251",1978-09-08,10371,251,"Fri"
"252",1978-09-09,9023,252,"Sat"
"253",1978-09-10,8630,253,"Sun"
"254",1978-09-11,10154,254,"Mon"
"255",1978-09-12,10425,255,"Tues"
"256",1978-09-13,10149,256,"Wed"
"257",1978-09-14,10265,257,"Thurs"
"258",1978-09-15,10265,258,"Fri"
"259",1978-09-16,9170,259,"Sat"
"260",1978-09-17,8711,260,"Sun"
"261",1978-09-18,10304,261,"Mon"
"262",1978-09-19,10711,262,"Tues"
"263",1978-09-20,10488,263,"Wed"
"264",1978-09-21,10499,264,"Thurs"
"265",1978-09-22,10349,265,"Fri"
"266",1978-09-23,8735,266,"Sat"
"267",1978-09-24,8647,267,"Sun"
"268",1978-09-25,10414,268,"Mon"
"269",1978-09-26,10498,269,"Tues"
"270",1978-09-27,10344,270,"Wed"
"271",1978-09-28,10175,271,"Thurs"
"272",1978-09-29,10368,272,"Fri"
"273",1978-09-30,8648,273,"Sat"
"274",1978-10-01,8686,274,"Sun"
"275",1978-10-02,9927,275,"Mon"
"276",1978-10-03,10378,276,"Tues"
"277",1978-10-04,9928,277,"Wed"
"278",1978-10-05,9949,278,"Thurs"
"279",1978-10-06,10052,279,"Fri"
"280",1978-10-07,8605,280,"Sat"
"281",1978-10-08,8377,281,"Sun"
"282",1978-10-09,9765,282,"Mon"
"283",1978-10-10,10351,283,"Tues"
"284",1978-10-11,9873,284,"Wed"
"285",1978-10-12,9824,285,"Thurs"
"286",1978-10-13,9755,286,"Fri"
"287",1978-10-14,8554,287,"Sat"
"288",1978-10-15,7873,288,"Sun"
"289",1978-10-16,9531,289,"Mon"
"290",1978-10-17,9938,290,"Tues"
"291",1978-10-18,9388,291,"Wed"
"292",1978-10-19,9502,292,"Thurs"
"293",1978-10-20,9625,293,"Fri"
"294",1978-10-21,8411,294,"Sat"
"295",1978-10-22,7936,295,"Sun"
"296",1978-10-23,9425,296,"Mon"
"297",1978-10-24,9576,297,"Tues"
"298",1978-10-25,9328,298,"Wed"
"299",1978-10-26,9501,299,"Thurs"
"300",1978-10-27,9537,300,"Fri"
"301",1978-10-28,8415,301,"Sat"
"302",1978-10-29,8155,302,"Sun"
"303",1978-10-30,9457,303,"Mon"
"304",1978-10-31,9333,304,"Tues"
"305",1978-11-01,9321,305,"Wed"
"306",1978-11-02,9245,306,"Thurs"
"307",1978-11-03,9774,307,"Fri"
"308",1978-11-04,8246,308,"Sat"
"309",1978-11-05,8011,309,"Sun"
"310",1978-11-06,9507,310,"Mon"
"311",1978-11-07,9769,311,"Tues"
"312",1978-11-08,9501,312,"Wed"
"313",1978-11-09,9609,313,"Thurs"
"314",1978-11-10,9652,314,"Fri"
"315",1978-11-11,8352,315,"Sat"
"316",1978-11-12,7967,316,"Sun"
"317",1978-11-13,9606,317,"Mon"
"318",1978-11-14,10014,318,"Tues"
"319",1978-11-15,9536,319,"Wed"
"320",1978-11-16,9568,320,"Thurs"
"321",1978-11-17,9835,321,"Fri"
"322",1978-11-18,8432,322,"Sat"
"323",1978-11-19,7868,323,"Sun"
"324",1978-11-20,9592,324,"Mon"
"325",1978-11-21,9950,325,"Tues"
"326",1978-11-22,9548,326,"Wed"
"327",1978-11-23,7915,327,"Thurs"
"328",1978-11-24,9037,328,"Fri"
"329",1978-11-25,8275,329,"Sat"
"330",1978-11-26,8068,330,"Sun"
"331",1978-11-27,9825,331,"Mon"
"332",1978-11-28,9814,332,"Tues"
"333",1978-11-29,9438,333,"Wed"
"334",1978-11-30,9396,334,"Thurs"
"335",1978-12-01,9592,335,"Fri"
"336",1978-12-02,8528,336,"Sat"
"337",1978-12-03,8196,337,"Sun"
"338",1978-12-04,9767,338,"Mon"
"339",1978-12-05,9881,339,"Tues"
"340",1978-12-06,9402,340,"Wed"
"341",1978-12-07,9480,341,"Thurs"
"342",1978-12-08,9398,342,"Fri"
"343",1978-12-09,8335,343,"Sat"
"344",1978-12-10,8093,344,"Sun"
"345",1978-12-11,9686,345,"Mon"
"346",1978-12-12,10063,346,"Tues"
"347",1978-12-13,9509,347,"Wed"
"348",1978-12-14,9524,348,"Thurs"
"349",1978-12-15,9951,349,"Fri"
"350",1978-12-16,8507,350,"Sat"
"351",1978-12-17,8172,351,"Sun"
"352",1978-12-18,10196,352,"Mon"
"353",1978-12-19,10605,353,"Tues"
"354",1978-12-20,9998,354,"Wed"
"355",1978-12-21,9398,355,"Thurs"
"356",1978-12-22,9008,356,"Fri"
"357",1978-12-23,7939,357,"Sat"
"358",1978-12-24,7964,358,"Sun"
"359",1978-12-25,7846,359,"Mon"
"360",1978-12-26,8902,360,"Tues"
"361",1978-12-27,9907,361,"Wed"
"362",1978-12-28,10177,362,"Thurs"
"363",1978-12-29,10401,363,"Fri"
"364",1978-12-30,8474,364,"Sat"
"365",1978-12-31,8028,365,"Sun"
